scale,curve,base_mae,corr_mae,delta_pct,win,mode,train_family,test_family,train_curves,lambda,kappa
400,wsdld_20000_24000.csv,0.0038535563963712593,0.0017245631806201691,-55.2474908050101,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD linear,wsd_20000_24000,3.0,0.04575832145218656
25,wsdcon_3.csv,0.004487187642230267,0.005909572972956887,31.6988154749787,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.02143513710097538
25,wsdcon_9.csv,0.002926482771138891,0.004753086140533684,62.41633770780544,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.02143513710097538
25,wsdcon_18.csv,0.002504818961791151,0.0014196160446525077,-43.3246048394106,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.02143513710097538
100,wsdcon_3.csv,0.0056693997340904675,0.011235885423666528,98.18474531094398,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.03391697109616153
100,wsdcon_9.csv,0.004934623402238123,0.009015117593805716,82.69109634013539,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.03391697109616153
100,wsdcon_18.csv,0.0013816404339982303,0.0025668978876489993,85.78624542861975,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.03391697109616153
400,wsdcon_3.csv,0.008173606778800102,0.013260658952659392,62.23754471592131,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.04575832145218656
400,wsdcon_9.csv,0.006687305974578527,0.011445977106215982,71.15976373336758,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.04575832145218656
400,wsdcon_18.csv,0.0025579541942073844,0.004144441545047176,62.0217263636883,0,selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,3.0,0.04575832145218656
25,cosine_72000.csv,0.00744534704076948,0.006549741293358878,-12.029066509679321,1,selected_lambda_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,3.0,0.02401963314474919
100,cosine_72000.csv,0.007265129575917493,0.0058941455030833406,-18.87074495379547,1,selected_lambda_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,3.0,0.03707405169362248
400,cosine_72000.csv,0.005612615040270773,0.004772417217741415,-14.969810266709892,1,selected_lambda_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,3.0,0.04810278972850831
25,wsd_20000_24000.csv,0.003408385839825258,0.002112426687644327,-38.022665657106835,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,3.0,0.02401963314474919
100,wsd_20000_24000.csv,0.0037480705220761528,0.001660302663881522,-55.70247000150259,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,3.0,0.03707405169362248
400,wsd_20000_24000.csv,0.004701998914275349,0.0017693018381353285,-62.371283567001726,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,3.0,0.04810278972850831
25,wsdld_20000_24000.csv,0.0031360955249893426,0.0020866055206670386,-33.464860874283175,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,3.0,0.02401963314474919
100,wsdld_20000_24000.csv,0.003248313740665229,0.0015946409272886513,-50.908654317298755,1,selected_lambda_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,3.0,0.03707405169362248
