base_mae,delta_pct,description,drop_norm,effective_drop_count,kappa_abs_error,kappa_error,kappa_hat,kappa_ratio_to_star,kappa_star_l2,kappa_star_mae,lambda,oracle_l2_delta_pct,oracle_mae_delta_pct,phi_l1,phi_l2,phi_max,q2,role,scale,source_projected_kappa,source_raw_kappa,source_retention_projected,source_retention_raw,support_projection,target_curve,target_label,variant
0.004487187642230267,-44.6500670626171,"cosine residual, MPL-LD projected, no target a_s multiplier",0.8999999999999999,1.0,0.005680166324528058,-0.005680166324528058,0.0186012135954047,0.7660690478359029,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,recommended_kappa_no_a,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5,projected_cosine_kappa
0.004487187642230267,-44.644714376645375,current effective coefficient a_s * kappa_cos,0.8999999999999999,1.0,0.0056828543611747925,-0.0056828543611747925,0.018598525558757965,0.7659583442162734,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,current_effective_amplitude,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5,current_effective_a_times_kappa
0.004487187642230267,-42.71522388420884,sqrt(total positive LR drop / peak LR) * kappa_cos,0.8999999999999999,1.0,0.006634719258502172,-0.006634719258502172,0.017646660661430585,0.7267569108353812,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,schedule_informed_candidate,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5,sqrt_drop_projected_kappa
0.004487187642230267,-40.86073776784572,(total positive LR drop / peak LR) * kappa_cos,0.8999999999999999,1.0,0.007540287684068531,-0.007540287684068531,0.016741092235864227,0.6894621430523125,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,stronger_schedule_scaling,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5,drop_projected_kappa
0.004487187642230267,2366.7109686237577,cosine residual without MPL-LD projection,0.8999999999999999,1.0,0.7991020008162739,0.7991020008162739,0.8233833807362066,33.91007362231029,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,negative_control_no_nuisance_projection,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5,raw_cosine_no_projection
0.002926482771138891,-21.191722472689644,"cosine residual, MPL-LD projected, no target a_s multiplier",0.7,1.0,0.0019864042514260508,-0.0019864042514260508,0.0186012135954047,0.9035146141625202,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,recommended_kappa_no_a,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5,projected_cosine_kappa
0.002926482771138891,-21.189609771527984,current effective coefficient a_s * kappa_cos,0.7,1.0,0.0019890922880727857,-0.0019890922880727857,0.018598525558757965,0.903384048466832,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,current_effective_amplitude,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5,current_effective_a_times_kappa
0.002926482771138891,-18.80370969561018,sqrt(total positive LR drop / peak LR) * kappa_cos,0.7,1.0,0.005024725986533448,-0.005024725986533448,0.015562891860297303,0.7559345610591391,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,schedule_informed_candidate,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5,sqrt_drop_projected_kappa
0.002926482771138891,-16.80575486217567,(total positive LR drop / peak LR) * kappa_cos,0.7,1.0,0.007566768330047461,-0.007566768330047461,0.013020849516783289,0.632460229913764,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,stronger_schedule_scaling,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5,drop_projected_kappa
0.002926482771138891,1036.9335962471534,cosine residual without MPL-LD projection,0.7,1.0,0.8027957628893759,0.8027957628893759,0.8233833807362066,39.99410649945389,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,negative_control_no_nuisance_projection,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5,raw_cosine_no_projection
