audit,base_mae,base_tau,corr_mae,delta_pct,heldout_scale,nonharm,nuisance,route,scale,target_curve,target_label,tau,tau_multiplier,train_curves,win
retrospective_best_worst,0.008173606778800102,1536.0,0.0033560059070024163,-58.94094250157844,,1,dct2,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1536.0,1.0,wsd_20000_24000+wsdld_20000_24000,1
retrospective_best_worst,0.002926482771138891,768.0,0.0021922657679291514,-25.08871777584415,,1,dct2,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
retrospective_best_worst,0.004934623402238123,768.0,0.004435466369057484,-10.115402787459804,,1,dct2,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
retrospective_best_worst,0.006687305974578527,768.0,0.005919491863764954,-11.481665617400816,,1,dct2,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
retrospective_best_worst,0.002504818961791151,512.0,0.0021331538331243152,-14.83800363763873,,1,none,weak_step_drop,25,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
retrospective_best_worst,0.0013816404339982303,512.0,0.001200371228267089,-13.119853854202812,,1,none,weak_step_drop,100,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
retrospective_best_worst,0.0025579541942073844,512.0,0.0023469838793290483,-8.247618950960456,,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,448.0,0.875,wsdcon_9,1
leave_one_scale_select_mean,0.00744534704076948,8192.0,0.005137748169940925,-30.993838946559883,25,1,dct4,smooth_decay,25,cosine_72000.csv,Cosine,11264.0,1.375,wsdcon_3,1
leave_one_scale_select_mean,0.003408385839825258,5120.0,0.0020286873214649215,-40.47952852752936,25,1,none,finite_tail,25,wsd_20000_24000.csv,WSD sharp,5760.0,1.125,wsdld_20000_24000,1
leave_one_scale_select_mean,0.0031360955249893426,5120.0,0.002079031708195133,-33.706365395161285,25,1,none,finite_tail,25,wsdld_20000_24000.csv,WSD linear,5760.0,1.125,wsd_20000_24000,1
leave_one_scale_select_mean,0.004487187642230267,1536.0,0.0020637577349824398,-54.00776835005077,25,1,dct2,full_step_drop,25,wsdcon_3.csv,WSD-con 3e-5,1728.0,1.125,wsd_20000_24000+wsdld_20000_24000,1
leave_one_scale_select_mean,0.002926482771138891,768.0,0.0021922657679291514,-25.08871777584415,25,1,dct2,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,672.0,0.875,wsdcon_3+wsdcon_18,1
