best_delta,block_label,config,end,experiment,group,mean_coef,mean_delta,mean_delta_vs_suffix8k,mean_n_cal,mean_source_retention,median_delta,mode,nonharm,reference_config,rows,split,start,wins,wins_vs_suffix8k,worst_delta,worst_delta_vs_suffix8k
0.0,,suffix_ge_24000,,prefix_start_sweep,extra_control,0.0008964344618686663,0.0,0.0,375.0,0.00011966863981654711,0.0,suffix,18,,18,cross_scale,24000,0,0,0.0,0.0
-3.947522357869193,,suffix_ge_32000,,prefix_start_sweep,core_wsd,0.0007844279637432658,-0.6766711179203446,25.915963915977247,312.3333333333333,8.627345596252005e-05,-0.4392030044513606,suffix,45,,45,all,32000,36,-9,0.0,3.1527952352987443
-1.975108034864459,,suffix_ge_32000,,prefix_start_sweep,core_wsd,0.0007844279637432655,-0.5430234622713281,29.339186167651707,312.3333333333333,8.627345596252007e-05,-0.4392030044513606,suffix,15,,15,same_scale,32000,12,-3,0.0,4.665186792735431
-3.947522357869193,,suffix_ge_32000,,prefix_start_sweep,core_wsd,0.0007844279637432657,-0.743494945744853,24.204352790140007,312.3333333333333,8.627345596252007e-05,-0.44326818359485265,suffix,30,,30,cross_scale,32000,24,-6,0.0,3.1527952352987443
0.0,,suffix_ge_32000,,prefix_start_sweep,extra_control,0.0010161395241274716,0.0,0.0,312.3333333333333,6.345396942993438e-05,0.0,suffix,27,,27,all,32000,0,0,0.0,0.0
0.0,,suffix_ge_32000,,prefix_start_sweep,extra_control,0.0010161395241274718,0.0,0.0,312.3333333333333,6.345396942993438e-05,0.0,suffix,9,,9,same_scale,32000,0,0,0.0,0.0
0.0,,suffix_ge_32000,,prefix_start_sweep,extra_control,0.0010161395241274718,0.0,0.0,312.3333333333333,6.345396942993438e-05,0.0,suffix,18,,18,cross_scale,32000,0,0,0.0,0.0
-0.09953988434608929,,suffix_ge_48000,,prefix_start_sweep,core_wsd,5.234366332536496e-05,-0.04315381472196197,26.549481219175632,187.33333333333334,4.9421071563800796e-06,-0.04617621781344283,suffix,45,,45,all,48000,45,0,-0.012826613575067647,3.1399686217236766
-0.0838943491819788,,suffix_ge_48000,,prefix_start_sweep,core_wsd,5.234366332536496e-05,-0.04237582153780339,29.839833808385233,187.33333333333334,4.9421071563800796e-06,-0.04786242898975335,suffix,15,,15,same_scale,48000,15,0,-0.015218660662652539,4.649968132072779
-0.09953988434608929,,suffix_ge_48000,,prefix_start_sweep,core_wsd,5.234366332536497e-05,-0.04354281131404125,24.90430492457082,187.33333333333334,4.9421071563800796e-06,-0.04408048190885916,suffix,30,,30,cross_scale,48000,30,0,-0.012826613575067647,3.1399686217236766
0.0,,suffix_ge_48000,,prefix_start_sweep,extra_control,7.913421027443589e-05,0.0,0.0,187.33333333333334,6.345206768682135e-06,0.0,suffix,27,,27,all,48000,0,0,0.0,0.0
0.0,,suffix_ge_48000,,prefix_start_sweep,extra_control,7.91342102744359e-05,0.0,0.0,187.33333333333334,6.345206768682134e-06,0.0,suffix,9,,9,same_scale,48000,0,0,0.0,0.0
0.0,,suffix_ge_48000,,prefix_start_sweep,extra_control,7.91342102744359e-05,0.0,0.0,187.33333333333334,6.345206768682134e-06,0.0,suffix,18,,18,cross_scale,48000,0,0,0.0,0.0
