estimator,scale,train_curve,train_label,test_curve,test_label,kappa,base_mae,corr_mae,delta_pct,win
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.018176969548648343,0.0037480705220761528,0.0031850399239553543,-15.021878451980708,1
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.018176969548648343,0.003248313740665229,0.0028431586645955792,-12.472781523458298,1
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.018176969548648343,0.0056693997340904675,0.004429667023703562,-21.86708943686424,1
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.018176969548648343,0.004934623402238123,0.004677685497038885,-5.206839190255175,1
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.018176969548648343,0.0013816404339982303,0.001223030488182998,-11.47982802994859,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.024969897457568967,0.005612615040270773,0.005426573858749628,-3.3146969850290975,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.024969897457568967,0.004701998914275349,0.003921984801952314,-16.58898963066321,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.024969897457568967,0.0038535563963712593,0.0032931422709788828,-14.542777313966294,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.024969897457568967,0.008173606778800102,0.005481177532129967,-32.9405282090826,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.024969897457568967,0.006687305974578527,0.006164121117131616,-7.8235519570328265,1
current_smooth_cap,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.024969897457568967,0.0025579541942073844,0.0023918133686931047,-6.495066482836709,1
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.004241465131126097,0.00744534704076948,0.007397158002665086,-0.6472369634419883,1
fixed_map_tau_0p03,25,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.004241465131126097,0.003408385839825258,0.0032762338801051853,-3.877259381140008,1
