protocol,lambda,base_mae,corr_mae,delta_pct,wins,tests,kappa_25,kappa_100,kappa_400
leave_one_noncos_hold_wsdld_20000_24000,10,0.003412655220675277,0.0027970160734718773,-18.03988704963816,3,3,nan,nan,nan
leave_one_noncos_hold_wsdld_20000_24000,20,0.003412655220675277,0.002912000434852291,-14.670535212283164,3,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_3,5,0.0061100647183736125,0.0063276313594687675,3.5607911065313136,2,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_3,10,0.0061100647183736125,0.005683897324706043,-6.974842547674487,2,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_3,20,0.0061100647183736125,0.0034812210531027688,-43.024808843114734,3,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_9,5,0.00484947071598518,0.005305000379722776,9.393389308157808,0,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_9,10,0.00484947071598518,0.004608124457046454,-4.976754641350489,2,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_9,20,0.00484947071598518,0.004233882320360363,-12.693929537416725,3,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_18,5,0.0021481378633322556,0.00202095361985646,-5.920674163738438,1,3,nan,nan,nan
leave_one_noncos_hold_wsdcon_18,10,0.0021481378633322556,0.001932361234564096,-10.04482219001719,3,3,nan,nan,nan
