cap_name,estimator,max_kappa,mean_delta_pct,mean_kappa,rho,test_curve,test_label,tests,train_curve,train_label,wins
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,17.019590414014996,0.04642742944590944,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,0
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,0.7081411301368554,0.04642742944590944,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-7.011289559040523,0.048318406751566574,0.0,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-37.54161732208465,0.048318406751566574,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-31.64345395031272,0.048318406751566574,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,32.352254323986074,0.048318406751566574,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,1
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,21.37971820469093,0.048318406751566574,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,0
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,1.416354193573003,0.048318406751566574,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-4.468780215353566,0.03134687820574691,0.0,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-24.125928651832098,0.03134687820574691,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-20.20249774347692,0.03134687820574691,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-27.23548623229762,0.03134687820574691,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-6.491803260917997,0.03134687820574691,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.043818633299580106,-8.843208267307697,0.03134687820574691,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-3.6437397662493325,0.02551509949400541,0.0,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-19.578342465392282,0.02551509949400541,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-16.396458351463945,0.02551509949400541,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-32.58358021301748,0.02551509949400541,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-11.945178689145754,0.02551509949400541,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.0369957665765904,-10.58671722573188,0.02551509949400541,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.03065474283818566,-3.5577298612376977,0.024570903822865756,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.03065474283818566,-19.371250666423776,0.024570903822865756,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.03065474283818566,-16.036128055492867,0.024570903822865756,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
