kind,scale,train,test,n_train,lambda,kappa,train_delta_pct,test_base_mae,test_corr_mae,test_delta_pct,wins,tests,train_has_final_target,test_has_final_target
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,wsdcon_3+wsdcon_18,3,20.0,0.07586785666710316,-18.48784474680647,0.005365780486503743,0.00337549631240211,-37.092165419507694,2,2,True,False
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_18,wsdcon_3+wsdcon_9,3,3.0,0.022198044185454752,-38.559243419214276,0.003706835206684579,0.0055117784303760995,48.69229741955201,0,2,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_18,wsdcon_3+wsdcon_9,3,7.0,0.05045285191181001,-33.84820399009298,0.005302011568164296,0.009428484888397412,77.82844807450724,0,2,True,False
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_18,wsdcon_3+wsdcon_9,3,7.0,0.0671595882885492,-34.05435683122386,0.007430456376689315,0.011100022429036717,49.38547333188703,0,2,True,False
all_splits,25,wsd_20000_24000+wsdcon_3+wsdcon_9,wsdld_20000_24000+wsdcon_18,3,20.0,0.02696683515113997,-34.14889492982374,0.0028204572433902465,0.0024952598955125193,-11.529951345294409,2,2,True,True
all_splits,100,wsd_20000_24000+wsdcon_3+wsdcon_9,wsdld_20000_24000+wsdcon_18,3,20.0,0.03553613832870392,-25.717414983438058,0.0023149770873317297,0.002004982406719899,-13.390831482014121,2,2,True,True
all_splits,400,wsd_20000_24000+wsdcon_3+wsdcon_9,wsdld_20000_24000+wsdcon_18,3,20.0,0.05502573400683642,-33.072760118178316,0.003205755295289322,0.0027744583380282326,-13.453832795499265,2,2,True,True
all_splits,25,wsd_20000_24000+wsdcon_3+wsdcon_18,wsdld_20000_24000+wsdcon_9,3,20.0,0.028517190400571348,-33.22676060199943,0.003031289148064117,0.002540157559574274,-16.20206996100969,2,2,True,True
all_splits,100,wsd_20000_24000+wsdcon_3+wsdcon_18,wsdld_20000_24000+wsdcon_9,3,20.0,0.037527069384200536,-32.1504094812599,0.004091468571451676,0.003633087191076287,-11.203345995952564,2,2,True,True
all_splits,400,wsd_20000_24000+wsdcon_3+wsdcon_18,wsdld_20000_24000+wsdcon_9,3,20.0,0.057374421963547674,-38.45767912351247,0.005270431185474893,0.004435616570333097,-15.839588560467565,2,2,True,True
all_splits,25,wsd_20000_24000+wsdcon_9+wsdcon_18,wsdld_20000_24000+wsdcon_3,3,14.0,0.02960033806668178,-18.27535358587783,0.0038116415836098047,0.0028511198429372327,-25.199686791193855,2,2,True,True
all_splits,100,wsd_20000_24000+wsdcon_9+wsdcon_18,wsdld_20000_24000+wsdcon_3,3,20.0,0.0400069164853914,-11.494063066418592,0.004458856737377849,0.002860318769515595,-35.85084836796791,2,2,True,True
all_splits,400,wsd_20000_24000+wsdcon_9+wsdcon_18,wsdld_20000_24000+wsdcon_3,3,20.0,0.058434809503393303,-14.741855831680295,0.006013581587585681,0.0031804024773787287,-47.113006931771096,2,2,True,True
all_splits,25,wsdld_20000_24000+wsdcon_3+wsdcon_9,wsd_20000_24000+wsdcon_18,3,20.0,0.02629785921896288,-33.587981733003545,0.0029566024008082043,0.0025872284527975477,-12.493189747450861,2,2,True,True
all_splits,100,wsdld_20000_24000+wsdcon_3+wsdcon_9,wsd_20000_24000+wsdcon_18,3,20.0,0.03432856311585251,-25.353658297014846,0.0025648554780371914,0.0021967610177870663,-14.35146983532254,2,2,True,True
all_splits,400,wsdld_20000_24000+wsdcon_3+wsdcon_9,wsd_20000_24000+wsdcon_18,3,20.0,0.05337590114292623,-32.555297084268545,0.0036299765542413664,0.003113468815616416,-14.228955226210715,2,2,True,True
all_splits,25,wsdld_20000_24000+wsdcon_3+wsdcon_18,wsd_20000_24000+wsdcon_9,3,20.0,0.027750718742396235,-32.785915545808365,0.0031674343054820743,0.00262363055782672,-17.168588049771373,2,2,True,True
all_splits,100,wsdld_20000_24000+wsdcon_3+wsdcon_18,wsd_20000_24000+wsdcon_9,3,20.0,0.03613418666395757,-31.631282285950668,0.004341346962157138,0.003802572398766372,-12.410308784052093,2,2,True,True
all_splits,400,wsdld_20000_24000+wsdcon_3+wsdcon_18,wsd_20000_24000+wsdcon_9,3,20.0,0.05546564954760545,-38.02136061109849,0.005694652444426938,0.00477507647653441,-16.148061306049843,2,2,True,True
all_splits,25,wsdld_20000_24000+wsdcon_9+wsdcon_18,wsd_20000_24000+wsdcon_3,3,14.0,0.02736972044297863,-17.402277063959126,0.003947786741027763,0.0027378707770933,-30.647956521062593,2,2,True,True
