amp_raw,corr,drop_eff_steps,feature_l2,feature_max,feature_mean,feature_peak_to_mean,kappa,max_drop,orth_corr,orth_feature_l2,orth_feature_retention,orth_projection_dot,orth_raw_kappa,orth_resid_scale,phi_norm,positive_overlap,projection_dot,r2,raw_kappa,resid_robust_scale,resid_std,scale,smooth_id_weight,subset_frac,subset_mode,subset_n,tau,total_drop,train_curve,train_label
0.14844057858281434,-0.038338926020639534,56610.171676919636,0.09507465016576863,0.021193750734399514,0.01136141324156027,1.865415004611606,0.0,2.0242220699289173e-05,-0.8051726719684985,0.0004756444432963273,0.0057024092461551955,-0.00011862428834968256,0.0,0.0004171516314448165,0.30834177492803116,1.0,0.04577043147156886,-1.723657766871502,0.4814157232423704,0.0033523329863594025,0.00295752667238241,25,8.414274335231301e-05,0.5,second_half,273,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.16522964359660816,0.42486160576900356,56610.171676919636,0.09507465016576863,0.021193750734399514,0.01136141324156027,1.865415004611606,0.0,2.0242220699289173e-05,-0.9090660453571939,0.0004756444432963273,0.0057024092461551955,-0.00015814391815588484,0.0,0.0005547429127924348,0.30834177492803116,0.999987037612911,0.05094720157730417,-0.16542168679991298,0.5358652541815775,0.005447659472037359,0.0038620886323853807,100,8.414274335231301e-05,0.5,second_half,273,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.10557334737191665,0.5519162762632617,56610.171676919636,0.09508274050125376,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.0,2.0242220699289173e-05,-0.8987068095988336,0.0004768038118786368,0.005716987758042424,-0.00018355264943806498,0.0,0.0006395188230279575,0.30835489375272407,0.9545670409774167,0.03255405831198679,0.26323285722447143,0.3423761046470629,0.00695246595891458,0.006097469982571264,400,8.414356205870405e-05,0.5,second_half,273,0.030898198785299612,0.899999999544725,cosine_72000.csv,Cosine
0.046337416182712206,0.7998285798301223,2842.3242127574717,0.9438286145394619,0.19020175165830108,0.03115714868201178,6.104594281058583,0.008208654649138721,0.0005754806207201073,0.7307224386141417,0.08793599563910436,0.0931694528905679,0.0025101652439125373,0.028545366725753987,0.0014479996207085288,0.9715084222689281,1.0,0.04501719008768543,0.4716764687439958,0.04769636075258369,0.0015772934021270055,0.003323870938767359,25,0.8876272844795522,0.5,second_half,85,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.07327143445958952,0.9645067924639876,2842.3242127574717,0.9438286145394619,0.19020175165830108,0.030974943134163758,6.140503659182457,0.013742833800823659,0.0005754806207201073,0.8694558203838072,0.09259108660297488,0.09810158875947451,0.004299737383737586,0.046437919042624544,0.0017783271531540475,0.9715084222689281,1.0,0.071183815689217,0.8341842773155973,0.07542027714846399,0.0012062006480936325,0.004656444054153262,100,0.8876272844795522,0.5029239766081871,second_half,86,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.09880355762866455,0.9630825252534042,2842.3242127574717,0.9529421754440708,0.19021940771026472,0.031238178436595314,6.089324577499179,0.025442859333650352,0.0005754806207201073,0.9286336163560884,0.09290074173311512,0.09748833048534493,0.008010570090845121,0.08622719196212507,0.0028729840354593775,0.9761875718549539,1.0,0.09645080501215705,0.8864955854076416,0.10121370162592605,0.001953267821735734,0.007813071286942936,400,0.8876316940905121,0.5029239766081871,second_half,86,0.07351091520805572,0.8999424188010638,wsd_20000_24000.csv,WSD sharp
0.038587065976002644,0.7421776614409937,3999.000000000001,0.5721837247862505,0.24895816290543804,0.022420587773571067,11.103998049458134,0.005468478865114981,0.0002250000000002901,0.6443354822527433,0.01482484190040608,0.025909233797141242,0.0006950696725955242,0.0468854694886483,0.0009397315752194856,0.7564282681036256,1.0,0.029188347487428018,0.31811865147097595,0.0510121945505036,0.001547371771584771,0.002939418314843967,25,0.7652294183995945,0.5,second_half,85,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.05960235876750827,0.9575628569010615,3999.000000000001,0.5721837247862505,0.24895816290543804,0.02228947322518761,11.169315685043184,0.005594416549458287,0.0002250000000002901,0.6549313254108171,0.016399180776590513,0.028660690729567197,0.0007281085606800176,0.044399081307730764,0.0008875871624537202,0.7564282681036256,1.0,0.04508490901739723,0.75809798956189,0.07879446245039477,0.0012062006480936325,0.003785289883168282,100,0.7652294183995945,0.5029239766081871,second_half,86,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.07801302235327828,0.9545284127726327,3999.000000000001,0.5890891345460179,0.25331762618423714,0.022663865639948686,11.177158839916714,0.012723807086472042,0.0002250000000002901,0.8488763446509195,0.01637688490636433,0.027800351332205764,0.0016797200649574207,0.10256651827019031,0.0011968055937947423,0.7675214228580319,0.9999883258396075,0.05987666591804361,0.8540846239539963,0.1016427946242594,0.001595459654683224,0.006381838618732896,400,0.7655415869579296,0.5029239766081871,second_half,86,0.07506249912819138,0.899775,wsdld_20000_24000.csv,WSD linear
0.05744581636839312,0.8694804302664776,1.0,10.70275226864739,0.8999999999999999,0.21316602486886502,4.22206118706609,0.0010433277166582936,0.8999999999999999,0.9490852868005815,0.0025486051365659966,0.0002576234668933502,0.00019559676822500155,0.07674659578240889,0.000635930084998162,3.271506116247896,0.9774041637917499,0.18793433960205158,0.7094428624214087,0.017559440308880722,0.004347085353796467,0.0062155954412196745,25,0.9996571526506726,0.5052631578947369,second_half,48,0.02145866287055983,0.8999999999999999,wsdcon_3.csv,WSD-con 3e-5
0.07028258086618652,0.7749996484485983,1.0,10.870281704891909,0.8999999999999999,0.1996725552957689,4.507379587880052,0.001375169998918774,0.8999999999999999,0.9711484513611158,0.003055191825946853,0.0005230944236305067,0.00021138489842045544,0.06918874835459599,0.0005398953557471576,3.297011025897837,0.9243752052645625,0.23172244404437334,0.5342233780131613,0.021317059698654564,0.004449574768546803,0.008520945213934152,100,0.9996571526506726,0.5045871559633027,second_half,55,0.02145866287055983,0.8999999999999999,wsdcon_3.csv,WSD-con 3e-5
0.12023226988848378,0.8828684614369372,1.0,10.870281704891909,0.8999999999999999,0.1996725552957689,4.507379587880052,0.0016856665681627794,0.8999999999999999,0.9720173517294565,0.003055191825946853,0.0005230944236305067,0.0002591130235258234,0.08481072164610158,0.0007070247751682799,3.297011025897837,0.9716350750803335,0.39640711949105556,0.6973814731498871,0.036467051200031186,0.005726123466806759,0.012714352258836817,400,0.9996571526506726,0.5045871559633027,second_half,55,0.02145866287055983,0.8999999999999999,wsdcon_3.csv,WSD-con 3e-5
0.024898810255643222,0.774290846915672,1.0,2.381106028408731,0.7,0.06747748278736211,10.37383095937158,0.0027515142171738046,0.7,0.8414109295994047,0.05899303326579467,0.03119498979940025,0.0009262043539957094,0.01570023276854864,0.0006074009041649525,1.5430832862839035,0.9738336984062966,0.0384209379538373,0.46595750912547707,0.016135752669323017,0.003476932584034337,0.0037361901982010024,25,0.9992715352590258,0.5052631578947369,second_half,48,0.02145866287055983,0.7,wsdcon_9.csv,WSD-con 9e-5
0.023807863450863418,0.5815254899829824,1.0,2.3811346152168964,0.7,0.05897773729219405,11.868885313995387,0.004904669263210109,0.7,0.8635693459450783,0.0179303616604555,0.047566132027505065,0.0004135826170491748,0.02306604991472705,0.0004890718846520724,1.5430925491417864,0.8822121854532247,0.0367377367020124,0.007405393304348196,0.015428668529379208,0.005527111516019917,0.005939693923425858,100,0.9992715352590258,0.5045871559633027,second_half,55,0.02145866287055983,0.7,wsdcon_9.csv,WSD-con 9e-5
0.0437320449527973,0.7339771420310921,1.0,2.3811346152168964,0.7,0.05897773729219405,11.868885313995387,0.007450163896705427,0.7,0.9486893353552703,0.0179303616604555,0.047566132027505065,0.0006282295740014941,0.035037194781576686,0.0008172356159013189,1.5430925491417864,0.9345709422444535,0.06748259272539518,0.08805942381317033,0.02834051980687712,0.006596053944401569,0.008240364793057512,400,0.9992715352590258,0.5045871559633027,second_half,55,0.02145866287055983,0.7,wsdcon_9.csv,WSD-con 9e-5
0.020384922919084385,0.630122474579084,1.0,0.43334458822817123,0.3999999999999999,0.020460631823060987,19.549738417616393,0.006102976611948236,0.3999999999999999,0.6419296601701321,0.047643988189730674,0.1743000968066008,0.0007149956858525074,0.015007049430984028,0.0005289254279007313,0.6582891372551816,1.0,0.013419173321417437,0.3399336845553441,0.030966518761166042,0.002419133433035098,0.0028371434424280502,25,0.9961051643574522,0.5052631578947369,second_half,48,0.03560141728027274,0.3999999999999999,wsdcon_18.csv,WSD-con 18e-5
0.012012488270498736,0.5677353309044975,1.0,0.433344588295799,0.3999999999999999,0.017832874856520412,22.4304832069039,0.009528356640968405,0.3999999999999999,0.3671573181573836,0.0023816280293708853,0.21929247724384865,7.424899612864787e-05,0.03117573156386683,0.0004934140205132494,0.6582891373065478,0.983920539872176,0.007907690540491638,0.30318795197160264,0.01824804267566827,0.0016775796996113938,0.0018185629731887422,100,0.9961051643574522,0.5045871559633027,second_half,55,0.03560141728027274,0.3999999999999999,wsdcon_18.csv,WSD-con 18e-5
