all_mean_delta_pct,all_mean_factor,all_non_harm_cells,all_tests,all_wins,all_worst_delta_pct,extra_holdout_mean_delta_pct,extra_holdout_mean_factor,extra_holdout_non_harm_cells,extra_holdout_tests,extra_holdout_wins,extra_holdout_worst_delta_pct,main_matrix_mean_delta_pct,main_matrix_mean_factor,main_matrix_non_harm_cells,main_matrix_tests,main_matrix_wins,main_matrix_worst_delta_pct,threshold
-5.449899073436281,0.3924731182795699,1116,1116,438,0.0,0.0,0.0,558,558,0,0.0,-10.899798146872563,0.7849462365591398,558,558,438,0.0,0.159492092903
-5.423808651989472,0.38799283154121866,1116,1116,433,0.0,0.0,0.0,558,558,0,0.0,-10.847617303978943,0.7759856630824373,558,558,433,0.0,0.159492094903
-5.423808651989472,0.38799283154121866,1116,1116,433,0.0,0.0,0.0,558,558,0,0.0,-10.847617303978943,0.7759856630824373,558,558,433,0.0,0.16052654595
-5.376305613915848,0.3835125448028674,1116,1116,428,0.0,0.0,0.0,558,558,0,0.0,-10.752611227831695,0.7670250896057348,558,558,428,0.0,0.16052654795
-5.376305613915848,0.3835125448028674,1116,1116,428,0.0,0.0,0.0,558,558,0,0.0,-10.752611227831695,0.7670250896057348,558,558,428,0.0,0.161440021687
-5.342716752924445,0.3790322580645161,1116,1116,423,0.0,0.0,0.0,558,558,0,0.0,-10.685433505848888,0.7580645161290323,558,558,423,0.0,0.161440023687
-5.342716752924445,0.3790322580645161,1116,1116,423,0.0,0.0,0.0,558,558,0,0.0,-10.685433505848888,0.7580645161290323,558,558,423,0.0,0.192332116256
-5.1589756647789375,0.3727598566308244,1116,1116,416,0.0,0.0,0.0,558,558,0,0.0,-10.317951329557873,0.7455197132616488,558,558,416,0.0,0.192332118256
-5.1589756647789375,0.3727598566308244,1116,1116,416,0.0,0.0,0.0,558,558,0,0.0,-10.317951329557873,0.7455197132616488,558,558,416,0.0,0.193449894247
-5.054648637052578,0.3664874551971326,1116,1116,409,0.0,0.0,0.0,558,558,0,0.0,-10.109297274105156,0.7329749103942652,558,558,409,0.0,0.193449896247
-5.054648637052578,0.3664874551971326,1116,1116,409,0.0,0.0,0.0,558,558,0,0.0,-10.109297274105156,0.7329749103942652,558,558,409,0.0,0.193630288513
-4.994981676747342,0.3602150537634409,1116,1116,402,0.0,0.0,0.0,558,558,0,0.0,-9.989963353494684,0.7204301075268817,558,558,402,0.0,0.193630290513
-4.994981676747342,0.3602150537634409,1116,1116,402,0.0,0.0,0.0,558,558,0,0.0,-9.989963353494684,0.7204301075268817,558,558,402,0.0,0.194816290089
-4.968459852554095,0.35663082437275984,1116,1116,398,0.0,0.0,0.0,558,558,0,0.0,-9.936919705108188,0.7132616487455197,558,558,398,0.0,0.194816292089
-4.968459852554095,0.35663082437275984,1116,1116,398,0.0,0.0,0.0,558,558,0,0.0,-9.936919705108188,0.7132616487455197,558,558,398,0.0,0.195600705321
-4.892476266955216,0.3503584229390681,1116,1116,391,0.0,0.0,0.0,558,558,0,0.0,-9.784952533910433,0.7007168458781362,558,558,391,0.0,0.195600707321
-4.892476266955216,0.3503584229390681,1116,1116,391,0.0,0.0,0.0,558,558,0,0.0,-9.784952533910433,0.7007168458781362,558,558,391,0.0,0.195856793517
-4.843120289339056,0.3467741935483871,1116,1116,387,0.0,0.0,0.0,558,558,0,0.0,-9.686240578678111,0.6935483870967742,558,558,387,0.0,0.195856795517
-4.843120289339056,0.3467741935483871,1116,1116,387,0.0,0.0,0.0,558,558,0,0.0,-9.686240578678111,0.6935483870967742,558,558,387,0.0,0.196966241559
-4.809025092203722,0.3431899641577061,1116,1116,383,0.0,0.0,0.0,558,558,0,0.0,-9.618050184407444,0.6863799283154122,558,558,383,0.0,0.196966243559
-4.809025092203722,0.3431899641577061,1116,1116,383,0.0,0.0,0.0,558,558,0,0.0,-9.618050184407444,0.6863799283154122,558,558,383,0.0,0.2
-4.809025092203722,0.3431899641577061,1116,1116,383,0.0,0.0,0.0,558,558,0,0.0,-9.618050184407444,0.6863799283154122,558,558,383,0.0,0.209047369336
-4.601161623574942,0.32974910394265233,1116,1116,368,0.0,0.0,0.0,558,558,0,0.0,-9.20232324714988,0.6594982078853047,558,558,368,0.0,0.209047371336
-4.601161623574942,0.32974910394265233,1116,1116,368,0.0,0.0,0.0,558,558,0,0.0,-9.20232324714988,0.6594982078853047,558,558,368,0.0,0.209270772651
-4.477109825126517,0.3163082437275986,1116,1116,353,0.0,0.0,0.0,558,558,0,0.0,-8.954219650253034,0.6326164874551972,558,558,353,0.0,0.209270774651
-4.477109825126517,0.3163082437275986,1116,1116,353,0.0,0.0,0.0,558,558,0,0.0,-8.954219650253034,0.6326164874551972,558,558,353,0.0,0.21133131405
-4.31680359735456,0.30286738351254483,1116,1116,338,0.0,0.0,0.0,558,558,0,0.0,-8.633607194709118,0.6057347670250897,558,558,338,0.0,0.21133131605
-4.31680359735456,0.30286738351254483,1116,1116,338,0.0,0.0,0.0,558,558,0,0.0,-8.633607194709118,0.6057347670250897,558,558,338,0.0,0.21308063092
-4.0152983103589035,0.2903225806451613,1116,1116,324,0.0,0.0,0.0,558,558,0,0.0,-8.030596620717807,0.5806451612903226,558,558,324,0.0,0.21308063292
-4.0152983103589035,0.2903225806451613,1116,1116,324,0.0,0.0,0.0,558,558,0,0.0,-8.030596620717807,0.5806451612903226,558,558,324,0.0,0.213357173487
-3.92792710356493,0.28763440860215056,1116,1116,321,0.0,0.0,0.0,558,558,0,0.0,-7.85585420712986,0.5752688172043011,558,558,321,0.0,0.213357175487
-3.92792710356493,0.28763440860215056,1116,1116,321,0.0,0.0,0.0,558,558,0,0.0,-7.85585420712986,0.5752688172043011,558,558,321,0.0,0.229690979631
-3.8997206718647224,0.2867383512544803,1116,1116,320,0.0,0.0,0.0,558,558,0,0.0,-7.799441343729445,0.5734767025089605,558,558,320,0.0,0.229690981631
-3.8997206718647224,0.2867383512544803,1116,1116,320,0.0,0.0,0.0,558,558,0,0.0,-7.799441343729445,0.5734767025089605,558,558,320,0.0,0.232969148137
-3.756927853297468,0.28136200716845877,1116,1116,314,0.0,0.0,0.0,558,558,0,0.0,-7.513855706594936,0.5627240143369175,558,558,314,0.0,0.232969150137
-3.756927853297468,0.28136200716845877,1116,1116,314,0.0,0.0,0.0,558,558,0,0.0,-7.513855706594936,0.5627240143369175,558,558,314,0.0,0.243035483736
-3.5259368015725174,0.27419354838709675,1116,1116,306,0.0,0.0,0.0,558,558,0,0.0,-7.051873603145035,0.5483870967741935,558,558,306,0.0,0.243035485736
-3.5259368015725174,0.27419354838709675,1116,1116,306,0.0,0.0,0.0,558,558,0,0.0,-7.051873603145035,0.5483870967741935,558,558,306,0.0,0.243674053225
-3.487572918500889,0.26881720430107525,1116,1116,300,0.0,0.0,0.0,558,558,0,0.0,-6.975145837001777,0.5376344086021505,558,558,300,0.0,0.243674055225
