base_mae,corr_mae,delta_pct,nonharm,scale,test_curve,test_label,train_curve,train_label,win
0.003408385839825258,0.0029116523147671523,-14.573864239606515,1,25,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0032046544948595786,-14.49855396305516,1,100,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.003640917865832229,-22.566594926716377,1,400,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
0.0031360955249893426,0.002712340012663105,-13.512200408107066,1,25,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.003248313740665229,0.002784734124224984,-14.271392896466562,1,100,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.0038535563963712593,0.0029496236966386337,-23.457103173157734,1,400,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
0.004487187642230267,0.003491318248547697,-22.193620438560334,1,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0056693997340904675,0.004795329263780847,-15.41733713101544,1,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.008173606778800102,0.006612436555050675,-19.100138604644368,1,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.002926482771138891,0.0023929839033063243,-18.230036174959142,1,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.004934623402238123,0.00464260362176484,-5.9177723742978365,1,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.006687305974578527,0.006163911511714063,-7.8266863345885955,1,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.002504818961791151,0.00229043880305101,-8.558708713496866,1,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0013816404339982303,0.0013235676039537198,-4.203179685213588,1,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
0.0025579541942073844,0.002499818325124216,-2.272748636970112,1,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,1
