base_mae,corr_mae,delta_pct,group_id,kappa,mode,nonharm,scale,test_curve,test_group,test_label,train_curves,win
0.0025579541942073844,0.002530796386611805,-1.0617003094535282,wsd,0.0420532581321911,group,1,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,1
0.00744534704076948,0.007139500971092629,-4.107881983231798,cosine,0.023206944032123724,group,1,25,cosine_72000.csv,cosine,Cosine,cosine_72000,1
0.007265129575917493,0.007265129575917493,0.0,cosine,0.0,group,1,100,cosine_72000.csv,cosine,Cosine,cosine_72000,0
0.005612615040270773,0.005612615040270773,0.0,cosine,0.0,group,1,400,cosine_72000.csv,cosine,Cosine,cosine_72000,0
0.003408385839825258,0.0025542552381806797,-25.05968049932892,cosine,0.023206944032123724,group,1,25,wsd_20000_24000.csv,wsd,WSD sharp,cosine_72000,1
0.0037480705220761528,0.0037480705220761528,0.0,cosine,0.0,group,1,100,wsd_20000_24000.csv,wsd,WSD sharp,cosine_72000,0
0.004701998914275349,0.004701998914275349,0.0,cosine,0.0,group,1,400,wsd_20000_24000.csv,wsd,WSD sharp,cosine_72000,0
0.0031360955249893426,0.002407137998342336,-23.244111055880023,cosine,0.023206944032123724,group,1,25,wsdld_20000_24000.csv,wsd,WSD linear,cosine_72000,1
0.003248313740665229,0.003248313740665229,0.0,cosine,0.0,group,1,100,wsdld_20000_24000.csv,wsd,WSD linear,cosine_72000,0
0.0038535563963712593,0.0038535563963712593,0.0,cosine,0.0,group,1,400,wsdld_20000_24000.csv,wsd,WSD linear,cosine_72000,0
0.004487187642230267,0.002910703051941755,-35.13302130385063,cosine,0.023206944032123724,group,1,25,wsdcon_3.csv,probe,WSD-con 3e-5,cosine_72000,1
0.0056693997340904675,0.0056693997340904675,0.0,cosine,0.0,group,1,100,wsdcon_3.csv,probe,WSD-con 3e-5,cosine_72000,0
0.008173606778800102,0.008173606778800102,0.0,cosine,0.0,group,1,400,wsdcon_3.csv,probe,WSD-con 3e-5,cosine_72000,0
0.002926482771138891,0.0021506314708230425,-26.511391352354096,cosine,0.023206944032123724,group,1,25,wsdcon_9.csv,probe,WSD-con 9e-5,cosine_72000,1
0.004934623402238123,0.004934623402238123,0.0,cosine,0.0,group,1,100,wsdcon_9.csv,probe,WSD-con 9e-5,cosine_72000,0
0.006687305974578527,0.006687305974578527,0.0,cosine,0.0,group,1,400,wsdcon_9.csv,probe,WSD-con 9e-5,cosine_72000,0
0.002504818961791151,0.0021360354870475903,-14.722959238533162,cosine,0.023206944032123724,group,1,25,wsdcon_18.csv,probe,WSD-con 18e-5,cosine_72000,1
0.0013816404339982303,0.0013816404339982303,0.0,cosine,0.0,group,1,100,wsdcon_18.csv,probe,WSD-con 18e-5,cosine_72000,0
0.0025579541942073844,0.0025579541942073844,0.0,cosine,0.0,group,1,400,wsdcon_18.csv,probe,WSD-con 18e-5,cosine_72000,0
