base_mae,corr_mae,delta_pct,group,kappa,mode,scale,target_factor,target_peak_to_mean,test_curve,test_label,train_curve,train_label,win
0.003248313740665229,0.002843545691329913,-12.460866826626871,main_matrix,0.01815960589314969,raw_nextgen,100,1.0,11.169315685043184,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.002843545691329913,-12.460866826626871,main_matrix,0.01815960589314969,target_localization_gate,100,1.0,11.169315685043184,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
0.0056693997340904675,0.00442985519815733,-21.863770312043375,main_matrix,0.01815960589314969,raw_nextgen,100,1.0,4.507379587880052,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
0.0056693997340904675,0.00442985519815733,-21.863770312043375,main_matrix,0.01815960589314969,target_localization_gate,100,1.0,4.507379587880052,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
0.004934623402238123,0.004677461202483015,-5.211384512918881,main_matrix,0.01815960589314969,raw_nextgen,100,1.0,11.868885313995387,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
0.004934623402238123,0.004677461202483015,-5.211384512918881,main_matrix,0.01815960589314969,target_localization_gate,100,1.0,11.868885313995387,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
0.0013816404339982303,0.001223017129451499,-11.480794904626713,main_matrix,0.01815960589314969,raw_nextgen,100,1.0,22.4304832069039,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
0.0013816404339982303,0.001223017129451499,-11.480794904626713,main_matrix,0.01815960589314969,target_localization_gate,100,1.0,22.4304832069039,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
0.0032781062167547585,0.0034886090121770035,6.421475739448046,extra_holdout,0.01815960589314969,raw_nextgen,100,1.0,1.8284634386196519,cosine_24000.csv,Cosine 24k,wsd_20000_24000.csv,WSD sharp,0
0.0032781062167547585,0.0032781062167547585,0.0,extra_holdout,0.01815960589314969,target_localization_gate,100,0.0,1.8284634386196519,cosine_24000.csv,Cosine 24k,wsd_20000_24000.csv,WSD sharp,0
0.001848699219840022,0.001848699219840022,0.0,extra_holdout,0.01815960589314969,raw_nextgen,100,1.0,0.0,constant_24000.csv,Constant 24k,wsd_20000_24000.csv,WSD sharp,0
0.001848699219840022,0.001848699219840022,0.0,extra_holdout,0.01815960589314969,target_localization_gate,100,0.0,0.0,constant_24000.csv,Constant 24k,wsd_20000_24000.csv,WSD sharp,0
0.004776169698442608,0.004776169698442608,0.0,extra_holdout,0.01815960589314969,raw_nextgen,100,1.0,0.0,constant_72000.csv,Constant 72k,wsd_20000_24000.csv,WSD sharp,0
