config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
579,20.0,neg_diff_drop,0.001,-33.565206571421896,-0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,0,1,15,-14.301719197291296
513,20.0,signed_d2_lr,0.001,-33.56411506863247,-0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,1,1,15,-14.301401651117185
515,20.0,signed_d2_lr,0.001,-33.56411506863247,-0.02279471896582353,0.06914693326463743,-29.5084918638418,15,15,0,1,15,-14.301401651117185
800,50.0,diff_drop,0.001,-33.55030093625155,0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,1,0,15,-13.837301766563392
802,50.0,diff_drop,0.001,-33.55030093625155,0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,0,0,15,-13.837301766563392
801,50.0,diff_drop,0.001,-33.55030093625155,0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,1,1,15,-13.837301766563392
833,50.0,neg_diff_drop,0.001,-33.55030093625155,-0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,1,1,15,-13.837301766563392
803,50.0,diff_drop,0.001,-33.55030093625155,0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,0,1,15,-13.837301766563392
835,50.0,neg_diff_drop,0.001,-33.55030093625155,-0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,0,1,15,-13.837301766563392
5,4.0,signed_d2_lr,0.003,-33.55015067131257,-0.009508225154142425,0.06914674642630751,-29.5084918638418,15,15,1,1,15,-13.832734075064057
7,4.0,signed_d2_lr,0.003,-33.55015067131257,-0.009508225154142425,0.06914674642630751,-29.5084918638418,15,15,0,1,15,-13.832734075064057
36,4.0,diff_drop,0.003,-33.55014793435313,0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,1,0,15,-13.83812490407652
38,4.0,diff_drop,0.003,-33.55014793435313,0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,0,0,15,-13.83812490407652
37,4.0,diff_drop,0.003,-33.55014793435313,0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,1,1,15,-13.83812490407652
69,4.0,neg_diff_drop,0.003,-33.55014793435313,-0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,1,1,15,-13.83812490407652
39,4.0,diff_drop,0.003,-33.55014793435313,0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,0,1,15,-13.83812490407652
71,4.0,neg_diff_drop,0.003,-33.55014793435313,-0.009508186478395199,0.06914674639110648,-29.5084918638418,15,15,0,1,15,-13.83812490407652
769,50.0,signed_d2_lr,0.001,-33.5499502261645,-0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,1,1,15,-13.836572192846951
771,50.0,signed_d2_lr,0.001,-33.5499502261645,-0.00942786608642759,0.06914716838550579,-29.5084918638418,15,15,0,1,15,-13.836572192846951
164,7.0,diff_drop,0.003,-33.48383078263321,0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,1,0,15,-13.609834043662827
166,7.0,diff_drop,0.003,-33.48383078263321,0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,0,0,15,-13.609834043662827
165,7.0,diff_drop,0.003,-33.48383078263321,0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,1,1,15,-13.609834043662827
197,7.0,neg_diff_drop,0.003,-33.48383078263321,-0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,1,1,15,-13.609834043662827
167,7.0,diff_drop,0.003,-33.48383078263321,0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,0,1,15,-13.609834043662827
199,7.0,neg_diff_drop,0.003,-33.48383078263321,-0.006319149452714396,0.06914701048797706,-29.5084918638418,15,15,0,1,15,-13.609834043662827
133,7.0,signed_d2_lr,0.003,-33.483601515524995,-0.006319149462628733,0.06914701048797939,-29.5084918638418,15,15,1,1,15,-13.607666033659072
135,7.0,signed_d2_lr,0.003,-33.483601515524995,-0.006319149462628733,0.06914701048797939,-29.5084918638418,15,15,0,1,15,-13.607666033659072
928,80.0,diff_drop,0.001,-33.47678575926736,0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,1,0,15,-13.585349776716049
930,80.0,diff_drop,0.001,-33.47678575926736,0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,0,0,15,-13.585349776716049
929,80.0,diff_drop,0.001,-33.47678575926736,0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,1,1,15,-13.585349776716049
961,80.0,neg_diff_drop,0.001,-33.47678575926736,-0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,1,1,15,-13.585349776716049
931,80.0,diff_drop,0.001,-33.47678575926736,0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,0,1,15,-13.585349776716049
963,80.0,neg_diff_drop,0.001,-33.47678575926736,-0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,0,1,15,-13.585349776716049
897,80.0,signed_d2_lr,0.001,-33.4766024861613,-0.005926852542905861,0.06914719656238559,-29.5084918638418,15,15,1,1,15,-13.58499424082591
