config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_rho,wins,worst_delta
11617,10.0,signed_d2_lr,0.003,-36.52461522572572,0.016793268078331543,0.03665611870652805,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.5,15,-11.261503063340806
11953,10.0,signed_d2_lr,0.003,-36.523652191526956,0.016784554984387953,0.03665443308544758,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.5,15,-11.261319347956423
11186,7.0,signed_d2_lr,0.01,-36.51252718035891,0.0046255566434783915,0.04073709384267746,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-8.126782698879765
11522,7.0,signed_d2_lr,0.01,-36.51214026170145,0.0046138969448663225,0.040728826772403755,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-8.124863538360106
11858,7.0,signed_d2_lr,0.01,-36.51190469288546,0.004611343072787388,0.04072695400418627,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-8.123742742469487
11209,14.0,signed_d2_lr,0.003,-36.4979475654143,0.004527852182490095,0.040737224537949736,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.35,15,-8.175534591296952
11545,14.0,signed_d2_lr,0.003,-36.49758668666004,0.004516527988469851,0.04072895849630968,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.35,15,-8.173715654793446
11881,14.0,signed_d2_lr,0.003,-36.49735136874619,0.004513981322013579,0.04072708574842911,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.35,15,-8.17259787890019
12698,7.0,signed_d2_lr,0.01,-36.43459641683524,0.0035394489528745837,0.04145091372509149,-40.477293275340145,15,15,1,0,3000,20.0,12,0.015,0.75,15,-7.697535204717154
13034,7.0,signed_d2_lr,0.01,-36.43454683471554,0.003538130326325521,0.0414500928185823,-40.477293275340145,15,15,1,0,3000,20.0,16,0.015,0.75,15,-7.696972143684322
12362,7.0,signed_d2_lr,0.01,-36.43373630028091,0.003545527479532134,0.04145305030246502,-40.477293275340145,15,15,1,0,3000,20.0,8,0.015,0.75,15,-7.698328762486506
11762,4.0,signed_d2_lr,0.01,-36.41987499544907,0.014597062331095026,0.045816250678825395,-40.477293275340145,15,15,1,0,3000,20.0,16,0.01,0.2,15,-7.688651201162699
11426,4.0,signed_d2_lr,0.01,-36.419465927176255,0.01460611641466676,0.04581835755487782,-40.477293275340145,15,15,1,0,3000,20.0,12,0.01,0.2,15,-7.685514792063208
11090,4.0,signed_d2_lr,0.01,-36.41573014355301,0.014658198257757481,0.04582766718557831,-40.477293275340145,15,15,1,0,3000,20.0,8,0.01,0.2,15,-7.651795854455267
