base_mae,cap,corr_mae,delta_pct,estimator,kappa,scale,tau_multiplier,test_curve,test_label,train_curve,train_label,win
0.0038535563963712593,,0.002616467791613097,-32.10251719484576,tau_x_0p00_nocap,0.0551199090228325,400,0.0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,,0.006974178041257748,-14.674412043570706,tau_x_0p00_nocap,0.0551199090228325,400,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.006687305974578527,,0.006983094053315543,4.423127637070001,tau_x_0p00_nocap,0.0551199090228325,400,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0025579541942073844,,0.0026453603879846967,3.417035143758551,tau_x_0p00_nocap,0.0551199090228325,400,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0
0.00744534704076948,,0.00729576630958804,-2.009049818126163,tau_x_0p00_nocap,0.01316568000838752,25,0.0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.003408385839825258,,0.0029981807903041403,-12.035170570423093,tau_x_0p00_nocap,0.01316568000838752,25,0.0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0031360955249893426,,0.002840913240762537,-9.41241368047322,tau_x_0p00_nocap,0.01316568000838752,25,0.0,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.004487187642230267,,0.0028683979205622284,-36.07581966114196,tau_x_0p00_nocap,0.01316568000838752,25,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,,0.0022665730145341925,-22.54958625120773,tau_x_0p00_nocap,0.01316568000838752,25,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002504818961791151,,0.0022354408304392994,-10.754395246162785,tau_x_0p00_nocap,0.01316568000838752,25,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.007265129575917493,,0.007070696676064142,-2.6762482048201752,tau_x_0p00_nocap,0.01711915721768343,100,0.0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.0037480705220761528,,0.003217805600753605,-14.14767727019235,tau_x_0p00_nocap,0.01711915721768343,100,0.0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.003248313740665229,,0.002866736744223901,-11.746925540609377,tau_x_0p00_nocap,0.01711915721768343,100,0.0,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0056693997340904675,,0.004447966106526186,-21.544320119460313,tau_x_0p00_nocap,0.01711915721768343,100,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,,0.004667643779998575,-5.410334294577734,tau_x_0p00_nocap,0.01711915721768343,100,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0013816404339982303,,0.001222216660075077,-11.538731062017948,tau_x_0p00_nocap,0.01711915721768343,100,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.005612615040270773,,0.005416712453340206,-3.4903977116719553,tau_x_0p00_nocap,0.02635848661695444,400,0.0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.004701998914275349,,0.0038786078060163167,-17.51151208817174,tau_x_0p00_nocap,0.02635848661695444,400,0.0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0038535563963712593,,0.003261977346068446,-15.351508825973836,tau_x_0p00_nocap,0.02635848661695444,400,0.0,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.008173606778800102,,0.005387357137204368,-34.08837392107527,tau_x_0p00_nocap,0.02635848661695444,400,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,,0.006152067194691754,-8.003802755869971,tau_x_0p00_nocap,0.02635848661695444,400,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0025579541942073844,,0.0023876404185302277,-6.65820271773595,tau_x_0p00_nocap,0.02635848661695444,400,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.00744534704076948,,0.007285100462077962,-2.1523050277446387,tau_x_0p00_nocap,0.014104458246913082,25,0.0,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.003408385839825258,,0.0029689311371469585,-12.893337882803479,tau_x_0p00_nocap,0.014104458246913082,25,0.0,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0031360955249893426,,0.0028198652808657625,-10.083565427257025,tau_x_0p00_nocap,0.014104458246913082,25,0.0,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.004487187642230267,,0.0028259023050214017,-37.02286308631294,tau_x_0p00_nocap,0.014104458246913082,25,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,,0.002239764650946665,-23.46564712304722,tau_x_0p00_nocap,0.014104458246913082,25,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,,0.002216232834537328,-11.521236929932055,tau_x_0p00_nocap,0.014104458246913082,25,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.007265129575917493,,0.007060286647343361,-2.8195357898797346,tau_x_0p00_nocap,0.018035724930483204,100,0.0,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.0037480705220761528,,0.0031894149679710165,-14.905150551854685,tau_x_0p00_nocap,0.018035724930483204,100,0.0,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.003248313740665229,,0.002846306932730374,-12.37586144780851,tau_x_0p00_nocap,0.018035724930483204,100,0.0,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0056693997340904675,,0.004431197728391367,-21.84009002317674,tau_x_0p00_nocap,0.018035724930483204,100,0.0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,,0.004675860973458411,-5.243813107649697,tau_x_0p00_nocap,0.018035724930483204,100,0.0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,,0.0012229218216104995,-11.487693069927484,tau_x_0p00_nocap,0.018035724930483204,100,0.0,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
