cap,estimator,max_kappa,mean_delta_pct,mean_kappa,tau_multiplier,test_curve,test_label,tests,train_curve,train_label,wins
,tau_x_0p00_nocap,0.011792019169979252,-14.586725572140486,0.006588883881212826,0.0,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p00_nocap,0.011792019169979252,-6.596785113181365,0.006588883881212826,0.0,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p00_nocap,0.011792019169979252,-5.767253151597525,0.006588883881212826,0.0,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
,tau_x_0p00_nocap,0.04972318340312621,-4.430142048447468,0.03156464438415111,0.0,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p00_nocap,0.04972318340312621,-23.838222654580168,0.03156464438415111,0.0,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p00_nocap,0.04972318340312621,-20.106495473473924,0.03156464438415111,0.0,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p00_nocap,0.04972318340312621,-26.734680219562033,0.03156464438415111,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p00_nocap,0.04972318340312621,-8.101907241530922,0.03156464438415111,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
,tau_x_0p00_nocap,0.04972318340312621,-7.075610271910307,0.03156464438415111,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
,tau_x_0p00_nocap,0.0551199090228325,-4.998097029712789,0.03571745746022736,0.0,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p00_nocap,0.0551199090228325,-27.07101919109542,0.03571745746022736,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p00_nocap,0.0551199090228325,-22.80655797036249,0.03571745746022736,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p00_nocap,0.0551199090228325,-19.83071136306876,0.03571745746022736,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
,tau_x_0p00_nocap,0.0551199090228325,-3.1517363432449965,0.03571745746022736,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
,tau_x_0p00_nocap,0.0551199090228325,-5.507934645619103,0.03571745746022736,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,2
,tau_x_0p00_nocap,0.02635848661695444,-2.725231911539431,0.01888110794767513,0.0,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.02635848661695444,-14.564786642929063,0.01888110794767513,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.02635848661695444,-12.170282682352145,0.01888110794767513,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.02635848661695444,-30.569504567225845,0.01888110794767513,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.02635848661695444,-11.987907767218479,0.01888110794767513,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.02635848661695444,-9.650443008638893,0.01888110794767513,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-2.9881699938907436,0.020822732104493386,0.0,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-15.982397780586146,0.020822732104493386,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-13.37427902459649,0.020822732104493386,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-31.844055749906985,0.020822732104493386,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-12.299589716359463,0.020822732104493386,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.03032801313608387,-10.010270916648123,0.020822732104493386,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-3.233685460853438,0.02230788883126493,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-17.57269547741082,0.02230788883126493,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-14.55202926552966,0.02230788883126493,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-29.503708088326317,0.02230788883126493,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-9.897575395312204,0.02230788883126493,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
,tau_x_0p00_nocap,0.027974617189197106,-12.1716747658727,0.02230788883126493,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.03,tau_x_0p25_cap_0p03,0.011554431677735327,-0.9995672581175433,0.006456129992717705,0.25,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
