base_tau,cap,cap_saturated,estimator,kappa,orth_feature_retention,scale,tau,tau_multiplier,train_curve,train_label
0.07351091520805572,0.03,0,tau_x_0p50_cap_0p03,0.02730671163652387,0.19446912064096752,100,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,0.03,1,tau_x_0p50_cap_0p03,0.03,0.19103269631809874,400,0.03675545760402786,0.5,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,0.03,0,tau_x_0p50_cap_0p03,0.021087573249065142,0.20518042801494696,25,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p50_cap_0p03,0.03,0.21295494892368566,100,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,0.03,1,tau_x_0p50_cap_0p03,0.03,0.21001940528935797,400,0.03753124956409569,0.5,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,0.03,0,tau_x_0p50_cap_0p03,0.0131652929908789,0.3658893468630305,25,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p50_cap_0p03,0.017118656085141338,0.3617608660639815,100,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p50_cap_0p03,0.02635771501965931,0.3617608660639815,400,0.010729331435279914,0.5,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,0.03,0,tau_x_0p50_cap_0p03,0.014103402107503245,0.6456084819189877,25,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,0,tau_x_0p50_cap_0p03,0.01803442676542415,0.6716357435070672,100,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.02145866287055983,0.03,1,tau_x_0p50_cap_0p03,0.03,0.6716357435070672,400,0.010729331435279914,0.5,wsdcon_9.csv,WSD-con 9e-5
0.03560141728027274,0.03,0,tau_x_0p50_cap_0p03,0.022149456104997963,0.801642156408999,25,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p50_cap_0p03,0.01676456576778391,0.8269250945987962,100,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.03560141728027274,0.03,0,tau_x_0p50_cap_0p03,0.02794990248985138,0.8269250945987962,400,0.01780070864013637,0.5,wsdcon_18.csv,WSD-con 18e-5
0.030898198785299612,,0,tau_x_1p00_nocap,0.0060004790851013465,0.030521552634579834,25,0.030898198785299612,1.0,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_1p00_nocap,0.008872855850635438,0.030521552634579834,100,0.030898198785299612,1.0,cosine_72000.csv,Cosine
0.030898198785299612,,0,tau_x_1p00_nocap,0.0,0.03064561373023567,400,0.030898198785299612,1.0,cosine_72000.csv,Cosine
0.07351091520805572,,0,tau_x_1p00_nocap,0.016941554704404626,0.18600000963731753,25,0.07351091520805572,1.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_1p00_nocap,0.02672099323774187,0.19446912064096752,100,0.07351091520805572,1.0,wsd_20000_24000.csv,WSD sharp
0.07351091520805572,,0,tau_x_1p00_nocap,0.04828972806831262,0.19103269631809874,400,0.07351091520805572,1.0,wsd_20000_24000.csv,WSD sharp
0.07506249912819138,,0,tau_x_1p00_nocap,0.020363296999888605,0.20518042801494696,25,0.07506249912819138,1.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_1p00_nocap,0.02933539389382345,0.21295494892368566,100,0.07506249912819138,1.0,wsdld_20000_24000.csv,WSD linear
0.07506249912819138,,0,tau_x_1p00_nocap,0.05271901553143667,0.21001940528935797,400,0.07506249912819138,1.0,wsdld_20000_24000.csv,WSD linear
0.02145866287055983,,0,tau_x_1p00_nocap,0.013164132074861909,0.3658893468630305,25,0.02145866287055983,1.0,wsdcon_3.csv,WSD-con 3e-5
0.02145866287055983,,0,tau_x_1p00_nocap,0.017117152863536645,0.3617608660639815,100,0.02145866287055983,1.0,wsdcon_3.csv,WSD-con 3e-5
