group,mean_delta_pct,mean_peak_to_mean,mean_target_factor,mean_target_retention,mode,non_harm_cells,tests,wins,worst_delta_pct
extra_holdout,0.04272206258445154,0.6094878128732173,0.006534557008695736,0.0017650528495065734,retention_alpha_0p75,372,558,0,0.4688108247454803
all,-2.8552894544303817,5.003076435691928,0.20432887523968948,0.16152383895403205,retention_alpha_0p75,930,1116,558,0.4688108247454803
main_matrix,-4.5713588490903,9.39666505851064,0.32128262505855754,0.32128262505855754,retention_alpha_1p0,558,558,558,-0.01604592909379976
extra_holdout,0.011570173918969683,0.6094878128732173,0.0017650528495065734,0.0017650528495065734,retention_alpha_1p0,372,558,0,0.1289343879225635
all,-2.2798943375856657,5.003076435691928,0.16152383895403205,0.16152383895403205,retention_alpha_1p0,930,1116,558,0.1289343879225635
main_matrix,-3.0130412901181844,9.39666505851064,0.2186677735725358,0.32128262505855754,retention_alpha_1p5,558,558,558,-0.0019518915703398143
extra_holdout,0.0008503987363939124,0.6094878128732173,0.0001290918185969276,0.0017650528495065734,retention_alpha_1p5,372,558,0,0.009752389247141835
all,-1.5060954456908953,5.003076435691928,0.10939843269556636,0.16152383895403205,retention_alpha_1p5,930,1116,558,0.009752389247141835
main_matrix,-2.103719713878996,9.39666505851064,0.15815441403936437,0.32128262505855754,retention_alpha_2p0,558,558,558,-0.0002374359678092297
extra_holdout,6.266534212694881e-05,0.6094878128732173,9.470132831442612e-06,0.0017650528495065734,retention_alpha_2p0,372,558,0,0.000737655000793147
all,-1.0518285242684344,5.003076435691928,0.07908194208609791,0.16152383895403205,retention_alpha_2p0,930,1116,558,0.000737655000793147
main_matrix,-11.79106933591719,9.39666505851064,1.0,0.32128262505855754,retention_gate_0p0025,558,558,558,-1.0263101049168721
extra_holdout,2.248434815493517,0.6094878128732173,0.3333333333333333,0.0017650528495065734,retention_gate_0p0025,372,558,0,22.53638404133347
all,-4.771317260211837,5.003076435691928,0.6666666666666666,0.16152383895403205,retention_gate_0p0025,930,1116,558,22.53638404133347
main_matrix,-11.79106933591719,9.39666505851064,1.0,0.32128262505855754,retention_gate_0p005,558,558,558,-1.0263101049168721
extra_holdout,1.73379628771241,0.6094878128732173,0.24193548387096775,0.0017650528495065734,retention_gate_0p005,423,558,0,22.53638404133347
all,-5.02863652410239,5.003076435691928,0.6209677419354839,0.16152383895403205,retention_gate_0p005,981,1116,558,22.53638404133347
main_matrix,-11.79106933591719,9.39666505851064,1.0,0.32128262505855754,retention_gate_0p0075,558,558,558,-1.0263101049168721
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p0075,558,558,0,0.0
all,-5.895534667958595,5.003076435691928,0.5,0.16152383895403205,retention_gate_0p0075,1116,1116,558,0.0
main_matrix,-11.79106933591719,9.39666505851064,1.0,0.32128262505855754,retention_gate_0p01,558,558,558,-1.0263101049168721
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p01,558,558,0,0.0
all,-5.895534667958595,5.003076435691928,0.5,0.16152383895403205,retention_gate_0p01,1116,1116,558,0.0
main_matrix,-11.72865177945577,9.39666505851064,0.967741935483871,0.32128262505855754,retention_gate_0p015,558,558,540,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p015,558,558,0,0.0
all,-5.864325889727884,5.003076435691928,0.4838709677419355,0.16152383895403205,retention_gate_0p015,1116,1116,540,0.0
main_matrix,-11.616846580962706,9.39666505851064,0.9193548387096774,0.32128262505855754,retention_gate_0p02,558,558,513,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p02,558,558,0,0.0
all,-5.808423290481353,5.003076435691928,0.4596774193548387,0.16152383895403205,retention_gate_0p02,1116,1116,513,0.0
main_matrix,-11.40874394853597,9.39666505851064,0.8333333333333334,0.32128262505855754,retention_gate_0p05,558,558,465,0.0
extra_holdout,0.0,0.6094878128732173,0.0,0.0017650528495065734,retention_gate_0p05,558,558,0,0.0
all,-5.704371974267985,5.003076435691928,0.4166666666666667,0.16152383895403205,retention_gate_0p05,1116,1116,465,0.0
