group,mean_delta_pct,mean_target_factor,mode,non_harm_cells,tests,train_size,wins,worst_delta_pct
main_matrix,-12.454450803783404,1.0,raw_nextgen,90,90,4,90,-1.523001737841534
extra_holdout,2.2881185174706395,1.0,raw_nextgen,90,135,4,0,18.6747219793318
all,-3.6089092110309777,1.0,raw_nextgen,180,225,4,90,18.6747219793318
main_matrix,-12.57775186582335,1.0,raw_nextgen,18,18,5,18,-1.6006129471590969
extra_holdout,2.2765570362416137,1.0,raw_nextgen,36,54,5,0,15.013467063853291
all,-1.4370201892746266,1.0,raw_nextgen,54,72,5,18,15.013467063853291
main_matrix,-9.630163470387277,0.7058467802138577,retention_alpha_0p25,90,90,1,90,-0.38300149461157895
extra_holdout,0.6267648889977897,0.0905704099852479,retention_alpha_0p25,36,54,1,0,5.91300329835267
all,-5.783815335617877,0.475118141378129,retention_alpha_0p25,126,144,1,90,5.91300329835267
main_matrix,-8.870264202973823,0.6853801190570077,retention_alpha_0p25,180,180,2,180,-0.3782061957496641
extra_holdout,0.5584192996112659,0.08763157872736103,retention_alpha_0p25,90,135,2,0,6.0919013744258566
all,-4.829399844723071,0.4292021732014448,retention_alpha_0p25,270,315,2,180,6.0919013744258566
main_matrix,-9.300314173993716,0.6995001152786215,retention_alpha_0p25,180,180,3,180,-0.41845356071247286
extra_holdout,0.5716887737009263,0.08948325155856061,retention_alpha_0p25,120,180,3,0,6.198054159554878
all,-4.364312700146396,0.39449168341859114,retention_alpha_0p25,300,360,3,180,6.198054159554878
main_matrix,-9.972806824159239,0.7121085828639274,retention_alpha_0p25,90,90,4,90,-0.5748818028005864
extra_holdout,0.6028199573915984,0.09132074810776385,retention_alpha_0p25,90,135,4,0,5.1360030974904936
all,-3.627430755228737,0.3396358820102292,retention_alpha_0p25,180,225,4,90,5.1360030974904936
main_matrix,-10.036035358015019,0.713524813722844,retention_alpha_0p25,18,18,5,18,-0.6041774173894732
extra_holdout,0.6021579204244316,0.09167478018637257,retention_alpha_0p25,36,54,5,0,4.1290688787424035
all,-2.057390399185431,0.24713728857049044,retention_alpha_0p25,54,72,5,18,4.1290688787424035
main_matrix,-7.614424680512108,0.5288610542299744,retention_alpha_0p5,90,90,1,90,-0.14292965076723174
extra_holdout,0.1700254028804911,0.024608997494687673,retention_alpha_0p5,36,54,1,0,1.6066293989278613
all,-4.695255899239884,0.3397665329542419,retention_alpha_0p5,126,144,1,90,1.6066293989278613
main_matrix,-6.881447496626499,0.5016877869897638,retention_alpha_0p5,180,180,2,180,-0.13190888489914565
