base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
171,7115,5000,8,-34.97280031347182,0.04081910259581411,0.024361911031878094,0.5431959145327,-34.361311429567955,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.728134667731011
179,7015,5000,12,-34.97220891317995,0.04081830993888899,0.024356850742001453,0.5429345910734116,-34.35921790291688,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.728018101789811
187,6915,5000,16,-34.972166638657626,0.04081825296220497,0.024356544896885636,0.5428919853183819,-34.358895557407564,15,0.05,0.25,0.2,0.75,0.05,15,4.0,20.0,15,-5.727995749897607
1580,45,8000,12,-34.97146700679798,0.04904636325556023,0.02015016796119049,0.4746148908293079,-36.942905533290016,15,0.02,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-6.081117679037651
1564,145,8000,8,-34.968978101913834,0.049049332110613686,0.02016252651380646,0.475275719197431,-36.94572341279607,15,0.02,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-6.0812286163267615
1236,2224,8000,16,-34.95247748898616,0.03916861944936761,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789454979506581
188,3624,8000,16,-34.95247748898616,0.03916861944936761,0.023500035451621826,0.5428919853183819,-41.728394704159754,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789454979506581
1244,2324,8000,12,-34.95244657906985,0.03916860155141443,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789474906788216
180,3724,8000,12,-34.95244657906985,0.03916860155141443,0.02350030066247175,0.5429345910734116,-41.72852801915548,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789474906788216
1228,2424,8000,8,-34.95174260573626,0.039169443231798266,0.023504689760579664,0.5431959145327,-41.7289739802861,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789609322080991
172,3824,8000,8,-34.95174260573626,0.039169443231798266,0.023504689760579664,0.5431959145327,-41.7289739802861,15,0.05,0.25,0.35,0.6,0.05,15,4.0,20.0,15,-5.789609322080991
50,4401,3000,8,-34.92617160105164,0.04042219760567464,0.021941922876793987,0.5050267730742137,-40.27125352117977,15,0.03,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-6.163416034714187
58,4301,3000,12,-34.92558760296335,0.04042106096323765,0.021932670698574398,0.5045922690852699,-40.26865834153875,15,0.03,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-6.163555762952511
66,4201,3000,16,-34.92552640927921,0.04042078995978049,0.021932109882187707,0.5045212965250775,-40.2684059870979,15,0.03,0.25,0.0,0.2,0.05,15,4.0,20.0,15,-6.163530578685239
179,7025,5000,12,-34.91592253507884,0.0389173359935067,0.024356850742001453,0.5429345910734116,-39.99855648708521,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.728018101789811
187,6925,5000,16,-34.91590486436546,0.03891727545977734,0.024356544896885636,0.5428919853183819,-39.99828227176799,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.727995749897607
171,7125,5000,8,-34.915825644323526,0.03891818393834825,0.024361911031878094,0.5431959145327,-40.00033742418082,15,0.05,0.25,0.35,0.75,0.05,15,4.0,20.0,15,-5.728134667731011
1581,3433,12000,12,-34.88025287091226,0.04919335964621644,0.018520596854298355,0.4746148908293079,-39.71209007895311,15,0.02,0.0,0.5,0.5,0.05,15,7.0,20.0,15,-5.173080662730989
1565,3533,12000,8,-34.87979968354679,0.04919399530715526,0.018530687724008846,0.475275719197431,-39.71462899117536,15,0.02,0.0,0.5,0.5,0.05,15,7.0,20.0,15,-5.171517847652762
1244,2313,8000,12,-34.868500931375834,0.042657220233244725,0.02350030066247175,0.5429345910734116,-36.90439795407029,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.492135221758332
180,3713,8000,12,-34.868500931375834,0.042657220233244725,0.02350030066247175,0.5429345910734116,-36.90439795407029,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.492135221758332
1236,2213,8000,16,-34.86844592450584,0.042657242434209014,0.023500035451621826,0.5428919853183819,-36.90399478520072,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.492167776277834
188,3613,8000,16,-34.86844592450584,0.042657242434209014,0.023500035451621826,0.5428919853183819,-36.90399478520072,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.492167776277834
1228,2413,8000,8,-34.86806901410616,0.0426580951166302,0.023504689760579664,0.5431959145327,-36.9057466218947,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.489810167432041
172,3813,8000,8,-34.86806901410616,0.0426580951166302,0.023504689760579664,0.5431959145327,-36.9057466218947,15,0.05,0.25,0.2,0.5,0.05,15,4.0,20.0,15,-5.489810167432041
1293,2522,12000,16,-34.867366543658754,0.036782782192288165,0.02042193032904349,0.546816278389047,-39.75586674032342,15,0.05,0.25,0.35,0.35,0.05,15,2.0,20.0,15,-5.526786700487363
1285,2622,12000,12,-34.86734577086729,0.03678281142837502,0.02042212554354259,0.5468581394829484,-39.75585891508943,15,0.05,0.25,0.35,0.35,0.05,15,2.0,20.0,15,-5.5267298019221585
1277,2722,12000,8,-34.867021797814694,0.036783349037283926,0.02042536865637655,0.5471152382567782,-39.75575979630691,15,0.05,0.25,0.35,0.35,0.05,15,2.0,20.0,15,-5.525889670235474
1563,1857,5000,8,-34.852799800850825,0.047001022854500925,0.021325723103067667,0.475275719197431,-36.75567377884651,15,0.02,0.0,0.75,1.0,0.05,15,7.0,20.0,15,-5.900013250326941
1579,1757,5000,12,-34.85220606097842,0.046998532509356546,0.02131147995263134,0.4746148908293079,-36.7491475917852,15,0.02,0.0,0.75,1.0,0.05,15,7.0,20.0,15,-5.900066122694936
1277,2723,12000,8,-34.835781518124485,0.0342405866754812,0.02042536865637655,0.5471152382567782,-39.75575979630691,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.549358365230772
1293,2523,12000,16,-34.83576920306418,0.03424011795320816,0.02042193032904349,0.546816278389047,-39.75586674032342,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.549165797224487
1285,2623,12000,12,-34.835763855036625,0.03424014210086323,0.02042212554354259,0.5468581394829484,-39.75585891508943,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.549178968387968
434,445,3000,8,-34.79741975572073,0.04750227616389095,0.020304402054112755,0.456343264080668,-39.304263483085,15,0.015,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-6.287910028526755
466,245,3000,12,-34.79259633277942,0.04750552284563439,0.020283589530997237,0.45546476997885227,-39.29568996422756,15,0.015,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-6.289579347448537
474,345,3000,16,-34.79226442493988,0.04750491303305802,0.020282320088245032,0.45531874975747144,-39.29498728272335,15,0.015,0.0,0.6,0.75,0.05,15,7.0,20.0,15,-6.289566272098146
26,4714,3000,8,-34.78482271285809,0.038882441706313754,0.023591600332567006,0.5261887482191262,-40.38406578060007,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.79969750192183
98,5014,3000,8,-34.78482271285809,0.038882441706313754,0.023591600332567006,0.5261887482191262,-40.38406578060007,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.79969750192183
34,4614,3000,12,-34.78411670308673,0.038882226536395385,0.023584650902780318,0.5258623854471114,-40.3816649850422,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.7997908073743165
106,4914,3000,12,-34.78411670308673,0.038882226536395385,0.023584650902780318,0.5258623854471114,-40.3816649850422,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.7997908073743165
42,4514,3000,16,-34.78404555089127,0.03888209785204152,0.023584230145408874,0.5258091386717108,-40.38145737504774,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.799777462510869
114,4814,3000,16,-34.78404555089127,0.03888209785204152,0.023584230145408874,0.5258091386717108,-40.38145737504774,15,0.04,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.799777462510869
1276,3314,8000,8,-34.779440347250365,0.03682233691135257,0.02158468977505172,0.5471152382567782,-36.60058390474512,15,0.05,0.25,0.2,0.6,0.05,15,2.0,20.0,15,-5.789609322080991
1284,3214,8000,12,-34.77937613243726,0.036821481197275595,0.021580711339535066,0.5468581394829484,-36.59954074942381,15,0.05,0.25,0.2,0.6,0.05,15,2.0,20.0,15,-5.789474906788216
1292,3114,8000,16,-34.7793199946365,0.03682149370270089,0.0215804724524408,0.546816278389047,-36.59923665752235,15,0.05,0.25,0.2,0.6,0.05,15,2.0,20.0,15,-5.789454979506581
1028,3912,8000,16,-34.770392617927925,0.03490094231051599,0.020244359050666186,0.5295845112279992,-39.72607152144322,15,0.04,0.25,0.2,0.35,0.05,15,2.0,20.0,15,-5.732887119303887
1020,4012,8000,12,-34.770357494719086,0.03490094588633592,0.02024465759781862,0.5296368273522087,-39.72613944456281,15,0.04,0.25,0.2,0.35,0.05,15,2.0,20.0,15,-5.732917279888827
1012,4112,8000,8,-34.76951498498891,0.03490248530521655,0.02024962621406203,0.529957914697898,-39.726308687450896,15,0.04,0.25,0.2,0.35,0.05,15,2.0,20.0,15,-5.733127466776211
1229,2114,12000,8,-34.7615825081356,0.037630793256715936,0.022264316488146026,0.5431959145327,-40.477293275340145,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.266189893491379
1245,2014,12000,12,-34.761138517189536,0.03763050817813564,0.022260734496773696,0.5429345910734116,-40.47614276278092,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.266021708951474
1237,1914,12000,16,-34.761115917932884,0.0376304967662892,0.022260517612055657,0.5428919853183819,-40.47600157834289,15,0.05,0.25,0.2,0.6,0.05,15,4.0,20.0,15,-5.266009360984869
1292,3123,8000,16,-34.74592897691836,0.037019601603913,0.0215804724524408,0.546816278389047,-39.67862758520789,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.492167776277834
1284,3223,8000,12,-34.745913585780244,0.0370195967836502,0.021580711339535066,0.5468581394829484,-39.678677525243785,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.492135221758332
1276,3323,8000,8,-34.74484169661758,0.03702057686843126,0.02158468977505172,0.5471152382567782,-39.67884883928993,15,0.05,0.25,0.35,0.5,0.05,15,2.0,20.0,15,-5.489810167432041
435,5424,5000,8,-34.74179595072091,0.049044240931715465,0.019504633129724665,0.456343264080668,-33.235941649372315,15,0.015,0.0,0.35,0.6,0.05,15,7.0,20.0,15,-5.981981810346248
467,5524,5000,12,-34.7383260607286,0.049036746023461336,0.019485698276700818,0.45546476997885227,-33.23377006383266,15,0.015,0.0,0.35,0.6,0.05,15,7.0,20.0,15,-5.981862452761377
475,5624,5000,16,-34.738045140316814,0.04903612439239094,0.019484544766245438,0.45531874975747144,-33.233163634022276,15,0.015,0.0,0.35,0.6,0.05,15,7.0,20.0,15,-5.981715865896453
1563,1847,5000,8,-34.737166955877065,0.04912597691034563,0.021325723103067667,0.475275719197431,-33.15878605676181,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-5.900013250326941
1579,1747,5000,12,-34.735025899433445,0.04912358112401791,0.02131147995263134,0.4746148908293079,-33.15654527746682,15,0.02,0.0,0.6,1.0,0.05,15,7.0,20.0,15,-5.900066122694936
1565,3535,12000,8,-34.73157701259676,0.045481757550373425,0.018530687724008846,0.475275719197431,-39.71462899117536,15,0.02,0.0,0.5,0.75,0.05,15,7.0,20.0,15,-5.450077043551705
1581,3435,12000,12,-34.73096170107695,0.04548144241736759,0.018520596854298355,0.4746148908293079,-39.71209007895311,15,0.02,0.0,0.5,0.75,0.05,15,7.0,20.0,15,-5.449623484573085
