base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1588,7677,8000,12,-26.456620910089747,0.030485814456549055,0.027705078264333417,0.6163810551570219,-33.99062010392684,15,0.07,0.25,1.0,1.0,0.05,15,2.0,30.0,15,-0.9182232213711727
1588,7678,8000,12,-25.488654288542257,0.02810248096459309,0.027705078264333417,0.6163810551570219,-30.326304561741146,15,0.07,0.25,1.0,1.25,0.05,15,2.0,30.0,15,-0.916780950880125
1588,7679,8000,12,-24.703747146151606,0.02619581417102831,0.027705078264333417,0.6163810551570219,-27.337512482393777,15,0.07,0.25,1.0,1.5,0.05,15,2.0,30.0,15,-0.9156271344876288
1588,7680,8000,12,-22.731806602328668,0.05093183665871441,0.027705078264333417,0.6163810551570219,-28.835028155607468,12,0.07,0.25,1.25,0.0,0.05,15,2.0,30.0,12,3.5367945244431764
1588,7681,8000,12,-25.506148014423186,0.043781836182846506,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.2,0.05,15,2.0,30.0,15,-0.6409980451783315
1588,7682,8000,12,-26.40788954056813,0.03980961369625322,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.35,0.05,15,2.0,30.0,15,-0.9244730601660089
1588,7683,8000,12,-26.512581088128,0.036631835706978595,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.5,0.05,15,2.0,30.0,15,-0.9225500328437053
1588,7684,8000,12,-26.280473398164453,0.034844335588011616,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.6,0.05,15,2.0,30.0,15,-0.9214683299758164
1588,7685,8000,12,-25.777822781398772,0.032546121149339795,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.75,0.05,15,2.0,30.0,15,-0.9200775691453944
1588,7686,8000,12,-25.118856855666742,0.030610782674668775,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,0.9,0.05,15,2.0,30.0,15,-0.9189064021307147
1588,7687,8000,12,-24.678274888900173,0.029481835231110684,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,1.0,0.05,15,2.0,30.0,15,-0.9182232213711727
1588,7688,8000,12,-23.710308267352687,0.02709850173915472,0.027705078264333417,0.6163810551570219,-30.213884536823844,15,0.07,0.25,1.25,1.25,0.05,15,2.0,30.0,15,-0.916780950880125
1588,7689,8000,12,-22.925401124962036,0.025191834945589946,0.027705078264333417,0.6163810551570219,-27.337512482393777,15,0.07,0.25,1.25,1.5,0.05,15,2.0,30.0,15,-0.9156271344876288
1588,7690,8000,12,-21.307557664049714,0.050128653278363716,0.027705078264333417,0.6163810551570219,-27.19249608314169,12,0.07,0.25,1.5,0.0,0.05,15,2.0,30.0,12,3.5367945244431764
1588,7691,8000,12,-24.081899076144232,0.04297865280249581,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.2,0.05,15,2.0,30.0,15,-0.6409980451783315
1588,7692,8000,12,-24.983640602289178,0.039006430315902535,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.35,0.05,15,2.0,30.0,15,-0.9244730601660089
1588,7693,8000,12,-25.088332149849048,0.0358286523266279,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.5,0.05,15,2.0,30.0,15,-0.9225500328437053
1588,7694,8000,12,-24.8562244598855,0.03404115220766092,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.6,0.05,15,2.0,30.0,15,-0.9214683299758164
1588,7695,8000,12,-24.35357384311982,0.0317429377689891,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.75,0.05,15,2.0,30.0,15,-0.9200775691453944
1588,7696,8000,12,-23.694607917387785,0.02980759929431808,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,0.9,0.05,15,2.0,30.0,15,-0.9189064021307147
1588,7697,8000,12,-23.25402595062122,0.028678651850759986,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,1.0,0.05,15,2.0,30.0,15,-0.9182232213711727
1588,7698,8000,12,-22.286059329073733,0.026295318358804023,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,1.25,0.05,15,2.0,30.0,15,-0.916780950880125
1588,7699,8000,12,-21.501152186683083,0.02438865156523925,0.027705078264333417,0.6163810551570219,-27.19249608314169,15,0.07,0.25,1.5,1.5,0.05,15,2.0,30.0,15,-0.9156271344876288
1596,7700,8000,16,-19.243434903274434,0.06097161542510777,0.027704888616349076,0.6163495354992526,-22.760972413257196,12,0.07,0.25,0.0,0.0,0.05,15,2.0,30.0,12,3.536758801169815
1596,7701,8000,16,-22.017770071118264,0.05382162488168261,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.2,0.05,15,2.0,30.0,15,-0.6410303586573352
1596,7702,8000,16,-22.919504545639448,0.04984940791311307,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.35,0.05,15,2.0,30.0,15,-0.9244730054081218
1596,7703,8000,16,-23.02418501465132,0.046671634338257426,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.5,0.05,15,2.0,30.0,15,-0.9225499835623707
1596,7704,8000,16,-22.79207737329847,0.044884136702401135,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.6,0.05,15,2.0,30.0,15,-0.9214682837747179
1596,7705,8000,16,-22.289428125195187,0.04258592545630021,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.75,0.05,15,2.0,30.0,15,-0.9200775269043726
1596,7706,8000,16,-21.630462135147027,0.04065058967010994,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,0.9,0.05,15,2.0,30.0,15,-0.9189063632239924
1596,7707,8000,16,-21.189880457021882,0.03952164379483228,0.027704888616349076,0.6163495354992526,-22.760972413257196,15,0.07,0.25,0.0,1.0,0.05,15,2.0,30.0,15,-0.9182231844100164
