config_id,gate_mode,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,wins,worst_delta
78,one_minus_lr,signed,0.003,23.075192846938513,0.019529285443211572,0.16936389051670825,0.015054355806573291,2.5960154056661855,7,15,1,7,194.25934286175396
79,one_minus_lr,signed,0.003,51.079887111043845,0.019529285443211572,0.22864125219755616,0.015054355806573291,14.37848002916422,7,15,0,7,300.05382321431256
80,one_minus_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
81,one_minus_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
82,one_minus_lr,signed,0.01,9.942106329175813,0.019360128835370735,0.13469888702820643,0.020311059828777574,-1.5839176398477761,8,15,1,8,142.7521060098997
83,one_minus_lr,signed,0.01,32.154333947198104,0.019360128835370735,0.18184349748807868,0.020311059828777574,7.748367418400126,7,15,0,7,226.86063790181348
84,one_minus_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
85,one_minus_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
86,one_minus_lr,signed,0.03,-22.454193145811335,0.018937474613186303,0.04811775388189613,0.033440521290432824,-10.903263252209284,12,15,1,12,14.276750050165976
87,one_minus_lr,signed,0.03,-14.785667869572352,0.018937474613186303,0.06495896774055979,0.033440521290432824,-8.192194075109182,10,15,0,10,44.293660684677505
88,one_minus_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
89,one_minus_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
90,one_minus_lr,signed,0.1,-37.180807697674254,0.01873076082439345,0.005789254334073194,0.039859382412214775,-40.477293275340145,15,15,1,15,-8.77189690382847
91,one_minus_lr,signed,0.1,-36.46487567973945,0.01873076082439345,0.007815493350998811,0.039859382412214775,-40.477293275340145,15,15,0,15,-7.863436125682122
92,one_minus_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
93,one_minus_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
94,one_minus_lr,signed,0.3,-37.574160078535414,0.01870572215404179,0.000662879048675922,0.04063676720148509,-40.477293275340145,15,15,1,15,-10.56909086634944
95,one_minus_lr,signed,0.3,-37.58732353741015,0.01870572215404179,0.0008948867157124947,0.04063676720148509,-40.477293275340145,15,15,0,15,-10.465076527569018
96,late_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
97,late_lr,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
98,late_lr,signed,0.001,137.89483288049763,0.02038132851074915,2.6040241486931275,0.0,170.25091178144493,6,15,1,6,520.7655882586613
99,late_lr,signed,0.001,209.83828735202172,0.02038132851074915,3.515432600735722,0.0,274.16182398407807,6,15,0,6,718.473028588924
100,late_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
101,late_lr,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
102,late_lr,signed,0.003,53.02194303743813,0.019615871850872296,1.4308587751181456,0.012580056145349435,53.50596004746067,6,15,1,6,275.3319016643808
103,late_lr,signed,0.003,92.52889714258023,0.019615871850872296,1.9316593464094969,0.012580056145349435,111.19435438701686,6,15,0,6,385.0934708766223
104,late_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
105,late_lr,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
106,late_lr,signed,0.01,-26.606458083550386,0.01884785042837309,0.22772279309217985,0.036256033560969556,-39.42749992473128,12,15,1,12,28.649263021920348
107,late_lr,signed,0.01,-20.49825098043329,0.01884785042837309,0.3074257706744429,0.036256033560969556,-33.11707850120887,9,15,0,9,46.11818758101685
108,late_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
109,late_lr,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
110,late_lr,signed,0.03,-37.080655701906295,0.01871980620897278,0.027135447747292,0.04020330255800672,-40.477293275340145,15,15,1,15,-8.434623413354092
111,late_lr,signed,0.03,-36.83247302322372,0.01871980620897278,0.0366328544588442,0.04020330255800672,-40.477293275340145,15,15,0,15,-7.488968990310429
112,late_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
113,late_lr,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
114,late_lr,signed,0.1,-37.51653427006604,0.018704056321101063,0.002462481262916338,0.04068883087077978,-40.477293275340145,15,15,1,15,-10.586680930609937
115,late_lr,signed,0.1,-37.51257664218268,0.018704056321101063,0.0033243497049370565,0.04068883087077978,-40.477293275340145,15,15,0,15,-10.5008648794502
116,late_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,15,-10.801466736917275
117,late_lr,nonpos,0.3,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,15,-10.801466736917275
118,late_lr,signed,0.3,-37.52939586223049,0.01870265919120724,0.0002738090244103755,0.04073190077643671,-40.477293275340145,15,15,1,15,-10.777584202467438
119,late_lr,signed,0.3,-37.52896940872497,0.01870265919120724,0.00036964218295400703,0.04073190077643671,-40.477293275340145,15,15,0,15,-10.768042115709664
