basis_dim,coef,denominator,lambda,method,nuisance,response_rule,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_24000.csv,Constant 24k,25,100
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_72000.csv,Constant 72k,25,100
4,0.08711343341554592,0.002743524977849311,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023899788048176304,0.4273555312833288,0.015605286855720102,0.0013334135180648567,wsd_20000_24000.csv,WSD sharp,100,100
4,0.0871830494620756,0.002743911501994817,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0002392225721979723,0.4276508044754227,0.015617666342793237,0.001333686311958456,wsdld_20000_24000.csv,WSD linear,100,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_3.csv,WSD-con 3e-5,100,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_9.csv,WSD-con 9e-5,100,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_18.csv,WSD-con 18e-5,100,100
4,0.08721492309568091,0.002744088629814247,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023932547881698197,0.4277860173279959,0.015623336065458198,0.001333811259927987,cosine_24000.csv,Cosine 24k,100,100
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_24000.csv,Constant 24k,100,100
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_72000.csv,Constant 72k,100,100
4,0.08711343341554592,0.002743524977849311,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023899788048176304,0.4273555312833288,0.015605286855720102,0.0013334135180648567,wsd_20000_24000.csv,WSD sharp,400,100
4,0.0871830494620756,0.002743911501994817,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.0002392225721979723,0.4276508044754227,0.015617666342793237,0.001333686311958456,wsdld_20000_24000.csv,WSD linear,400,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_3.csv,WSD-con 3e-5,400,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_9.csv,WSD-con 9e-5,400,100
4,0.022826637792579752,0.002527676392701416,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.76983534730498e-05,0.15301451324062326,0.005260835741725408,0.0011820728269458275,wsdcon_18.csv,WSD-con 18e-5,400,100
4,0.08721492309568091,0.002744088629814247,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023932547881698197,0.4277860173279959,0.015623336065458198,0.001333811259927987,cosine_24000.csv,Cosine 24k,400,100
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_24000.csv,Constant 24k,400,100
4,0.0872277965935752,0.002744160198466161,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023936704761199124,0.4278406326690459,0.015625626338363535,0.001333861734209837,constant_72000.csv,Constant 72k,400,100
4,0.08350339968216844,0.002762508155125203,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023067882260266958,0.4273821949362601,0.016202103416692613,0.001437175978001327,wsd_20000_24000.csv,WSD sharp,25,400
4,0.08356887445918465,0.002762922930450339,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023089435951520693,0.427677508652534,0.016214898410114646,0.001437459578337259,wsdld_20000_24000.csv,WSD linear,25,400
4,0.02219923356201039,0.0025296280051831026,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.615580291206212e-05,0.15301644390181715,0.005443161322531419,0.0012653952574698765,wsdcon_3.csv,WSD-con 3e-5,25,400
4,0.02219923356201039,0.0025296280051831026,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.615580291206212e-05,0.15301644390181715,0.005443161322531419,0.0012653952574698765,wsdcon_9.csv,WSD-con 9e-5,25,400
4,0.02219923356201039,0.0025296280051831026,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.615580291206212e-05,0.15301644390181715,0.005443161322531419,0.0012653952574698765,wsdcon_18.csv,WSD-con 18e-5,25,400
4,0.0835988512853818,0.002763113002153322,7.221202285244404,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023099307295172043,0.4278127400705677,0.016220758371707583,0.0014375894697521657,cosine_24000.csv,Cosine 24k,25,400
4,0.08361095854809035,0.0027631898003566313,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023103294785812434,0.4278673629121043,0.016223125480517957,0.0014376419398905466,constant_24000.csv,Constant 24k,25,400
4,0.08361095854809035,0.0027631898003566313,7.220283130832764,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023103294785812434,0.4278673629121043,0.016223125480517957,0.0014376419398905466,constant_72000.csv,Constant 72k,25,400
4,0.08350339968216844,0.002762508155125203,7.2284552974545955,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023067882260266958,0.4273821949362601,0.016202103416692613,0.001437175978001327,wsd_20000_24000.csv,WSD sharp,100,400
4,0.08356887445918465,0.002762922930450339,7.223478858982098,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,0.00023089435951520693,0.427677508652534,0.016214898410114646,0.001437459578337259,wsdld_20000_24000.csv,WSD linear,100,400
4,0.02219923356201039,0.0025296280051831026,20.0,mpl_ld_tangent,mpl_ld4,two_point_five_roundfast20,ridge_tau_0p05,5.615580291206212e-05,0.15301644390181715,0.005443161322531419,0.0012653952574698765,wsdcon_3.csv,WSD-con 3e-5,100,400
