base_mae,corr_mae,delta_pct,feature,kappa,origin_r2,pearson,scale,test_curve,test_group,test_label,train_curves,train_id,win
0.003408385839825258,0.002861283747348553,-16.05164785289549,S10_current,0.017559440308880705,0.41088147869411995,0.799828579830122,25,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3,probe3,1
0.0031360955249893426,0.0027424025522892973,-12.553602706390244,S10_current,0.017559440308880705,0.34074613673914544,0.7421776614409938,25,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3,probe3,1
0.004487187642230267,0.0027691802587348677,-38.286952106186014,S10_current,0.017559440308880705,0.7557723542619157,0.8694804302664781,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3,probe3,1
0.002926482771138891,0.0021967193196032247,-24.936536744129413,S10_current,0.017559440308880705,0.4631427757582499,0.7742908469156721,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,probe3,1
0.002504818961791151,0.0021455417186121324,-14.343441528488976,S10_current,0.017559440308880705,0.366896009628086,0.6301224745790838,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,probe3,1
0.007265129575917493,0.007023018490608037,-3.332508839374426,S10_current,0.02131705969865454,0.057862705431172334,0.42486160576900495,100,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3,probe3,1
0.0037480705220761528,0.0030877758101227597,-17.616923376021187,S10_current,0.02131705969865454,0.435525721537783,0.9645067924639873,100,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3,probe3,1
0.003248313740665229,0.0027731677092723357,-14.627467336193545,S10_current,0.02131705969865454,0.4009865694693361,0.9575628569010617,100,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3,probe3,1
0.0056693997340904675,0.004437767432249657,-21.724209962386777,S10_current,0.02131705969865454,0.5726556993798417,0.7749996484485984,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3,probe3,1
0.004934623402238123,0.004735892440787571,-4.027277164867671,S10_current,0.02131705969865454,0.11046285940139078,0.5815254899829823,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,probe3,1
0.0013816404339982303,0.0012254463171071143,-11.304975813361008,S10_current,0.02131705969865454,0.3545450553849945,0.5677353309044975,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,probe3,1
0.005612615040270773,0.005346028223930518,-4.749779103456808,S10_current,0.03646705120003114,0.08611825314999899,0.5519162762632631,400,cosine_72000.csv,cosine,Cosine 72k,wsdcon_3,probe3,1
0.004701998914275349,0.00356570827810073,-24.166118642112423,S10_current,0.03646705120003114,0.5268389625765542,0.963082525253404,400,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_3,probe3,1
0.0038535563963712593,0.0030351048733470894,-21.238861945678888,S10_current,0.03646705120003114,0.5045796843271235,0.9545284127726329,400,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_3,probe3,1
0.008173606778800102,0.005066466603478869,-38.0143094647057,S10_current,0.03646705120003114,0.7305317993042926,0.8828684614369375,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_3,probe3,1
0.006687305974578527,0.006194319669088971,-7.371971723196458,S10_current,0.03646705120003114,0.20263184077748664,0.7339771420310919,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,probe3,1
0.0025579541942073844,0.002396518712601939,-6.311116984464538,S10_current,0.03646705120003114,0.15445998433785113,0.6135896551001624,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,probe3,1
