cosine_to_wsd,feature,max_kappa,mean_all,mean_kappa,mean_off_group,mean_wsd_targets,probe_to_wsd,tests_all,train_id,wins_all,worst_off_group
nan,step_tau512,0.06253000547698503,-13.948153324988585,0.04587751427297081,-13.948153324988585,-23.190586571450737,-23.190586571450737,18,probe3,16,9.337749173919875
nan,step_tau1024,0.029972285972073538,-13.928119305807968,0.02115932460770957,-13.928119305807968,-19.19128382058113,-19.19128382058113,18,probe9,17,5.469284821204279
nan,step_tau2048,0.04804582763588826,-13.902419991898348,0.03367270931067476,-13.902419991898348,-44.67964994095144,-44.67964994095144,18,probe3,13,79.94160654063282
nan,S10_cap512,0.06253000547698503,-13.631673760022453,0.04587751427297081,-13.631673760022453,-22.33053883629834,-22.33053883629834,18,probe3,16,9.337749173919875
nan,S10_cap512,0.05061050197059498,-12.999559562821968,0.03769100414034614,-13.346912605755385,-18.44132173208323,-18.44132173208323,18,probe,18,-2.3409874626030724
nan,S10_cap1024,0.029972285972073538,-12.68755425186565,0.02115932460770957,-12.68755425186565,-13.88791314776896,-13.88791314776896,18,probe9,18,-1.9880397632573876
nan,S20_cap512,0.06253000547698503,-12.590088952860519,0.04587751427297081,-12.590088952860519,-16.12080541451977,-16.12080541451977,18,probe3,18,-1.8903730379007055
nan,S10_current,0.03469206327068291,-15.601656350943166,0.024208610401960873,-12.56164291682582,-17.1095350241805,-17.1095350241805,18,probe,18,-2.7068455955912007
nan,S20_cap1024,0.03847845244116927,-12.073144813782191,0.02769156448952237,-12.073144813782191,-10.824556342899948,-10.824556342899948,18,probe9,18,-1.516135492804771
nan,step_tau512,0.039003369467519484,-11.316465872263995,0.028170998330969213,-11.316465872263995,-14.421407512605002,-14.421407512605002,18,probe9,18,-1.9026747877785466
nan,S10_cap512,0.039003369467519484,-11.07935644083138,0.028170998330969213,-11.07935644083138,-13.766660239950463,-13.766660239950463,18,probe9,18,-1.760683736152946
nan,S20_cap1024,0.053437198545710864,-15.781682990958883,0.03880376470468759,-11.027966555794519,-15.139654113367621,-15.139654113367621,18,probe,18,-2.00889068741682
nan,S20,0.04912066866461046,-17.355153886977703,0.03509679578080801,-10.02824037204655,-13.761425778862952,-13.761425778862952,18,probe,18,-1.8870095836934553
nan,step_tau2048,0.014505681410680236,-9.8041067097999,0.010106475122313717,-9.8041067097999,-14.199037958878131,-14.199037958878131,18,probe9,16,11.378312173376216
nan,S20_cap512,0.05170578533249952,-11.57213903859989,0.038352781026277705,-9.788243607397437,-13.515993760057198,-13.515993760057198,18,probe,18,-1.677586999245917
nan,S20_cap512,0.039003369467519484,-9.15721811761698,0.028170998330969213,-9.15721811761698,-9.923213534476774,-9.923213534476774,18,probe9,18,-1.2585303048688878
nan,S50,0.063407987410726,-8.15720010217688,0.0461339335145998,-8.15720010217688,-7.821527969484535,-7.821527969484535,18,probe3,17,3.988900706366083
nan,step_tau256,0.05076900771354285,-7.128942572734043,0.03853038929338911,-7.128942572734043,-10.386489472104369,-10.386489472104369,18,probe3,18,-1.266287079781181
nan,step_tau256,0.04340793685677701,-6.55526158521938,0.0337627531976361,-6.592218202918177,-9.14416620689528,-9.14416620689528,18,probe,18,-1.1996931112286058
nan,step_tau256,0.03659953477036626,-5.647607764911955,0.027855052374583165,-5.647607764911955,-7.538909575223902,-7.538909575223902,18,probe9,18,-0.9869629819888703
nan,S50,0.03464746091680057,-5.542916644276987,0.02685275994575052,-5.542916644276987,-4.6008449433194984,-4.6008449433194984,18,probe9,17,1.7690203828838902
nan,S50,0.054992144808537397,-7.5196258172221,0.0408993720391614,-5.045729609126449,-6.962551398348346,-6.962551398348346,18,probe,17,-0.8973607431553954
nan,S100,0.056787286984576996,-2.5859025363783417,0.04240688422219675,-2.5859025363783417,-3.7511750578766545,-3.7511750578766545,18,probe3,14,6.337859055309369
nan,S100,0.04434410198367378,-2.458152173524753,0.03481596409169715,-2.2389508601626966,-3.098120286213589,-3.098120286213589,18,probe,15,-0.41042644162432307
nan,S100,0.02083011462040318,-2.0401665668411244,0.019068394249686742,-2.0401665668411244,-1.7245533129539214,-1.7245533129539214,18,probe9,16,1.751595558265584
