channel,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_smooth_coef,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_smooth_coef,first_step_curvature_coef,first_step_primary_coef,first_target_retention,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,variant,win_vs_first_error,win_vs_pure
smooth,-39.417859222497086,1.625361146433879,1.3814555091285374,-38.58094390117828,0.0044691290030496565,0.049563657859896165,0.020262860860645823,0.09193540488924726,0.26545908515575306,0.004408231249596974,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.26545908515575306,0.007276453411883992,0.007394722058479117,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0,1
smooth,-31.681286986452008,1.4372098851956006,-0.4813249150254273,-32.01012197381093,0.004124006887226395,0.049563657859896165,0.020262860860645823,0.09193540488924726,0.31973859000646515,0.004143952764348088,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.31973859000646515,0.006065618893503333,0.006152794567839055,400,wsdld_20000_24000.csv,WSD linear,smooth_only,1,1
step,-61.67632967375416,10.9145879870443,14.356094691153597,-56.174547272592775,0.006739666951665367,0.049563657859896165,0.020262860860645823,0.09193540488924726,0.44175894972066576,0.005893579148420095,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.44190353138363614,0.015378430871178581,0.01705692323964015,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0,1
step,-27.398735435516265,7.777747540613045,2.819908968996554,-25.351445864457457,0.006742918808197767,0.049563657859896165,0.020262860860645823,0.09193540488924726,0.7494553740756698,0.006557989474811701,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.749590662618146,0.009032886016726277,0.009735441086738584,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0,1
step,-15.025693297652687,25.074565030926866,23.317580659004733,4.788259207097201,0.005101982869478999,0.049563657859896165,0.020262860860645823,0.09193540488924726,0.8678929583017544,0.004137271297583188,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.867980776969021,0.004868849724276598,0.006089692614648436,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0,0
smooth,-29.5084918638418,-3.474660510194938,-6.536737893137435,-34.116336987622105,0.002835188604397315,0.024260700254475177,0.011025910867069036,0.04774580530170051,0.2662406679882105,0.0030334791879569334,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.2662406679882105,0.004303325702859985,0.00415379974403764,25,wsd_20000_24000.csv,WSD sharp,step_only,1,1
smooth,-16.880609023662686,-4.390657071787107,-6.935813549335645,-22.645615005124753,0.0029863452224255936,0.024260700254475177,0.011025910867069036,0.04774580530170051,0.3198517221283153,0.0032089091801266964,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.3198517221283153,0.003860602372604268,0.003691096561517938,25,wsdld_20000_24000.csv,WSD linear,step_only,1,1
step,-52.87815483344662,0.13162612351007574,-4.807982382347619,-55.143764847291635,0.0038537813041956154,0.024260700254475177,0.011025910867069036,0.04774580530170051,0.4088555049840256,0.004048429060170452,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.4088909831017751,0.008591406057766149,0.008602714592514996,25,wsdcon_3.csv,WSD-con 3e-5,step_only,1,1
step,-28.40013634317151,-1.6436656530292026,-2.670391865447963,-30.312133277935295,0.0042176576961355525,0.024260700254475177,0.011025910867069036,0.04774580530170051,0.7199959114622004,0.004333375811299792,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.7200309593150199,0.006052212378600692,0.005952734242485251,25,wsdcon_9.csv,WSD-con 9e-5,step_only,1,1
step,-14.273967180468016,-1.3929046844246673,-1.6391037624034932,-15.67910580977221,0.0034861528573135923,0.024260700254475177,0.011025910867069036,0.04774580530170051,0.8502956766213721,0.003544246738960761,0.02420899317439569,0.011031540753919438,0.04769938361833003,0.8503186355117636,0.004134387912738256,0.004076799829829438,25,wsdcon_18.csv,WSD-con 18e-5,step_only,1,1
smooth,-47.42184213260951,-2.2631220064086355,-7.491107158787013,-51.36052828057195,0.002113331691227802,0.03811961463429118,0.015254320470966042,0.06868567453775784,0.2686449951276333,0.002284463283822057,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.2686449951276333,0.004344890305179187,0.0042465601365283615,100,wsd_20000_24000.csv,WSD sharp,step_only,1,1
smooth,-31.81491325220902,-3.1109060332957794,-8.270976462119561,-37.45448572779462,0.002262822133927124,0.03811961463429118,0.015254320470966042,0.06868567453775784,0.32237714656014427,0.0024668551420834305,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.32237714656014427,0.0036178807709199698,0.0035053318997399726,100,wsdld_20000_24000.csv,WSD linear,step_only,1,1
step,-55.24595238697489,3.437717801246176,-0.10862097280455174,-55.29456466886158,0.0035442801069703704,0.03811961463429118,0.015254320470966042,0.06868567453775784,0.44192378333910154,0.003548134124773109,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.4419653381166076,0.007928074250295227,0.00820061907009364,100,wsdcon_3.csv,WSD-con 3e-5,step_only,1,1
step,-27.87233648379296,0.762743325455495,-1.1755357110318831,-28.720222925958883,0.004459759683194037,0.03811961463429118,0.015254320470966042,0.06868567453775784,0.7496095997578537,0.004512809368896204,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.7496484466122557,0.0062566970131816045,0.00630441955204362,100,wsdcon_9.csv,WSD-con 9e-5,step_only,1,1
step,-25.665027953071707,-1.7735014199593113,-3.70536811314478,-28.419412304213665,0.0019120779223503494,0.03811961463429118,0.015254320470966042,0.06868567453775784,0.867993062376755,0.001985653701441024,0.03800463456838331,0.01525007605232624,0.06853553713634956,0.8680182587039743,0.0026712241180200675,0.002623849920356686,100,wsdcon_18.csv,WSD-con 18e-5,step_only,1,1
smooth,-39.417859222497086,0.6900190902367598,0.638744563255389,-39.03089409197705,0.0044363885870395,0.04918112306640413,0.02027062684476877,0.09157244398517646,0.26545908515575306,0.004408231249596974,0.04898284995669083,0.02023703096506908,0.09120634014503035,0.26545908515575306,0.007276453411883992,0.007326662329518176,400,wsd_20000_24000.csv,WSD sharp,step_only,0,1
